"","SECCION","munn.x","edon.x","disloc2018.x","disloc2013.x","escenario1","escenario2","escenario3","pobtot","dsiSQ_E1","dsi_pob","dif","rural","urbano","mixto"
"2238",413,48,21,22,22,3,5,5,227,0.839,0.868356997971602,0.0293569979716021,1,0,0
"2239",414,48,21,22,22,3,5,5,170,0.839,0.868356997971602,0.0293569979716021,1,0,0
"2240",439,52,21,22,22,3,5,5,1307,0.839,0.868356997971602,0.0293569979716021,0,0,0
"2241",440,52,21,22,22,3,5,5,1306,0.839,0.868356997971602,0.0293569979716021,0,0,0
"2242",441,52,21,22,22,3,5,5,2556,0.839,0.868356997971602,0.0293569979716021,0,0,1
"2243",442,52,21,22,22,3,5,5,1507,0.839,0.868356997971602,0.0293569979716021,1,0,0
"2244",443,52,21,22,22,3,5,5,1406,0.839,0.868356997971602,0.0293569979716021,1,0,0
"2245",444,52,21,22,22,3,5,5,2495,0.839,0.868356997971602,0.0293569979716021,0,0,1
"2246",445,52,21,22,22,3,5,5,2057,0.839,0.868356997971602,0.0293569979716021,0,0,0
"2247",446,52,21,22,22,3,5,5,1486,0.839,0.868356997971602,0.0293569979716021,0,0,0
"2248",447,52,21,22,22,3,5,5,1917,0.839,0.868356997971602,0.0293569979716021,0,0,0
"2249",448,52,21,22,22,3,5,5,1256,0.839,0.868356997971602,0.0293569979716021,0,0,0
"2250",449,52,21,22,22,3,5,5,1680,0.839,0.868356997971602,0.0293569979716021,0,0,0
"2251",450,52,21,22,22,3,5,5,2555,0.839,0.868356997971602,0.0293569979716021,0,0,0
"2252",451,52,21,22,22,3,5,5,1254,0.839,0.868356997971602,0.0293569979716021,1,0,0
"2253",452,52,21,22,22,3,5,5,1876,0.839,0.868356997971602,0.0293569979716021,0,0,0
"2254",453,52,21,22,22,3,5,5,2274,0.839,0.868356997971602,0.0293569979716021,0,0,0
"2255",454,52,21,22,22,3,5,5,931,0.839,0.868356997971602,0.0293569979716021,1,0,0
"2256",455,52,21,22,22,3,5,5,1133,0.839,0.868356997971602,0.0293569979716021,1,0,0
"2257",456,52,21,22,22,3,5,5,1312,0.839,0.868356997971602,0.0293569979716021,0,0,1
"2258",457,52,21,22,22,3,5,5,1093,0.839,0.868356997971602,0.0293569979716021,1,0,0
"2259",458,52,21,22,22,3,5,5,2388,0.839,0.868356997971602,0.0293569979716021,1,0,0
"2260",496,56,21,23,23,8,3,3,2146,0.744,0.724181080590147,0.019818919409853,0,0,1
"2261",497,56,21,23,23,8,3,3,1005,0.744,0.724181080590147,0.019818919409853,0,0,1
"2262",498,56,21,23,23,8,3,3,1132,0.744,0.724181080590147,0.019818919409853,1,0,0
"2263",499,56,21,23,23,8,3,3,416,0.744,0.724181080590147,0.019818919409853,1,0,0
"2264",500,57,21,22,23,3,5,5,770,0.839,0.868356997971602,0.0293569979716021,0,0,1
"2265",501,57,21,22,23,3,5,5,467,0.839,0.868356997971602,0.0293569979716021,1,0,0
"2266",512,60,21,23,23,8,3,3,1738,0.744,0.724181080590147,0.019818919409853,0,0,1
"2267",513,60,21,23,23,8,3,3,449,0.744,0.724181080590147,0.019818919409853,1,0,0
"2268",514,60,21,23,23,8,3,3,246,0.744,0.724181080590147,0.019818919409853,1,0,0
"2269",551,67,21,23,23,8,3,3,2430,0.744,0.724181080590147,0.019818919409853,0,0,0
"2270",552,67,21,23,23,8,3,3,898,0.744,0.724181080590147,0.019818919409853,1,0,0
"2271",553,67,21,23,23,8,3,3,1669,0.744,0.724181080590147,0.019818919409853,1,0,0
"2272",554,67,21,23,23,8,3,3,1432,0.744,0.724181080590147,0.019818919409853,1,0,0
"2273",640,74,21,22,22,3,5,5,1991,0.839,0.868356997971602,0.0293569979716021,0,0,1
"2274",641,74,21,22,22,3,5,5,2799,0.839,0.868356997971602,0.0293569979716021,0,0,1
"2275",642,74,21,22,22,3,5,5,1326,0.839,0.868356997971602,0.0293569979716021,0,0,1
"2276",643,74,21,22,22,3,5,5,1786,0.839,0.868356997971602,0.0293569979716021,0,0,1
"2277",644,74,21,22,22,3,5,5,312,0.839,0.868356997971602,0.0293569979716021,1,0,0
"2278",645,74,21,22,22,3,5,5,525,0.839,0.868356997971602,0.0293569979716021,1,0,0
"2279",706,83,21,22,22,3,5,5,1618,0.839,0.868356997971602,0.0293569979716021,0,0,1
"2280",707,83,21,22,22,3,5,5,1118,0.839,0.868356997971602,0.0293569979716021,1,0,0
"2281",708,83,21,22,22,3,5,5,999,0.839,0.868356997971602,0.0293569979716021,1,0,0
"2282",730,87,21,22,22,3,5,5,2062,0.839,0.868356997971602,0.0293569979716021,0,0,0
"2283",731,87,21,22,22,3,5,5,1450,0.839,0.868356997971602,0.0293569979716021,0,0,0
"2284",732,87,21,22,22,3,5,5,4951,0.839,0.868356997971602,0.0293569979716021,0,0,0
"2285",733,87,21,22,22,3,5,5,1080,0.839,0.868356997971602,0.0293569979716021,0,0,0
"2286",734,87,21,22,22,3,5,5,1630,0.839,0.868356997971602,0.0293569979716021,0,0,0
"2287",735,87,21,22,22,3,5,5,1237,0.839,0.868356997971602,0.0293569979716021,0,0,0
"2288",736,87,21,22,22,3,5,5,1569,0.839,0.868356997971602,0.0293569979716021,0,0,0
"2289",737,87,21,22,22,3,5,5,1773,0.839,0.868356997971602,0.0293569979716021,0,0,0
