"","seccion","munn","edon","dis_nueva","dis_anterior","pob_total","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_anterior","RRI_nueva","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","dcrit8"
"88",1352,35,5,11,7,2197,9,11,1,0,0,0,1,0,161789,2720963,0,0.85701997409692,1.05112329948266,7,0.245,1,0,0,0.5,0.5,0,7,0.15,1
"89",1,1,6,6,1,5884,15,11,1,0,0,1,0,0,43387,650555,0,1.00255665006411,0.93713986908521,6,0.484,0.667,0.334,0.167,0.833,0.167,0,6,0.581,0
"90",3,1,6,2,2,1916,16,12,1,0,0,1,0,0,43224,650555,0,0.913126291322314,0.940673873311124,2,0.381,1,0,0,0.793,0.207,0,2,0.5,0
"91",49,1,6,2,5,295,16,12,1,0,0,0,0,0,43224,650555,0,0.899152753206546,0.940673873311124,2,0.381,0.444,0.555,0.194,0.417,0.583,0,2,0.5,0
"92",50,1,6,1,3,906,16,9,1,0,0,0,0,0,43974,650555,0,0.963568203900751,0.924630179196798,2,0.298,0.344,0.656,0.125,0.174,0.826,0,2,0.308,0
"93",92,2,6,4,4,2841,1,14,0,1,1,1,0,0,40133,650555,0,0.976105809626695,1.01312355169063,4,0.343,0.212,0.788,0.273,0.667,0.333,0,4,0.419,0
"94",120,4,6,6,6,2463,15,11,1,0,0,0,1,0,43387,650555,0,1.02355471503373,0.93713986908521,6,0.484,0.167,0.833,0.3,0.062,0.938,0,6,0.581,0
"95",138,5,6,7,7,7725,4,15,1,0,0,0,1,0,39791,650555,0,0.958683568329718,1.02183125581162,7,0.678,1,0,0,0.846,0.154,0,7,0.579,0
"96",160,5,6,8,8,3320,5,16,1,0,0,0,0,0,39932,650555,0,0.939608705197236,1.0182231668837,8,0.744,1,0,0,1,0,0,8,0.683,0
"97",170,6,6,9,9,2457,2,1,0,1,1,0,1,0,39593,650555,0,1.15108250997933,1.02694131538403,9,0.62,0.351,0.648,0.297,0.087,0.913,0,9,0.636,0
"98",200,8,6,13,13,463,8,4,0,1,1,0,0,0,40060,650555,0,1.02800585305421,1.01496973290065,13,0.767,0.857,0.142,0.071,0.867,0.133,0,13,0.857,0
"99",222,8,6,14,14,572,7,2,0,1,0,1,0,0,39737,650555,0,0.899749668068157,1.02321985806679,14,0.254,0.107,0.893,0.286,0.438,0.562,0,14,0.485,0
"100",228,8,6,14,11,2221,7,2,0,1,0,1,0,0,39737,650555,0,0.933610881495258,1.02321985806679,14,0.254,0.471,0.529,0.176,0.8,0.2,0,14,0.485,0
"101",249,8,6,12,12,721,8,3,1,0,0,0,1,0,39271,650555,0,0.984615268192275,1.03536165363754,11,0.248,0.65,0.35,0.15,0.923,0.077,0,11,0.176,0
"102",277,10,6,10,10,4006,10,6,0,1,1,0,1,0,39127,650555,0,1.15609006255331,1.03917211899711,10,0.31,0.44,0.56,0.24,0.176,0.824,0,10,0.333,0
"103",280,10,6,10,15,10229,10,6,0,1,1,0,1,0,39127,650555,0,1.15932046932026,1.03917211899711,10,0.31,0.722,0.278,0.111,0.167,0.833,0,10,0.333,0
"104",295,10,6,16,16,917,12,7,1,0,0,0,1,0,39579,650555,0,1.13457285766108,1.02730456807903,16,0.261,0.4,0.6,0.2,0.118,0.882,0,16,0.3,0
"105",1,1,7,18,16,5562,5,24,0,1,1,0,1,0,196158,4763244,0,0.819399947153733,1.01177877017506,16,0.305,0.119,0.881,0.199,0.148,0.818,0.034,16,0.292,0
"106",7,2,7,3,3,3339,1,16,1,0,0,0,1,0,200344,4763244,0,1.15898075261031,0.990638601605239,3,0.456,0.303,0.698,0.145,0,0.973,0.027,3,0.455,0
"107",35,4,7,20,7,4060,19,23,0,1,1,0,0,0,202922,4763244,0,0.517432553628599,0.978053143572407,20,0.49,0.124,0.876,0.066,0,0.81,0.19,20,0.472,0
