"","SECCION","munn.x","edon.x","disloc2018","disloc2010","escenario1","escenario2","escenario3_tribunal","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"263",805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"264",806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"265",851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"266",852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"267",853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"268",854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"269",855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"270",856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"271",857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"272",858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"273",859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"274",860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"275",861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"276",866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"277",867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"278",868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"279",869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"280",870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"281",875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"282",882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"283",932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"284",933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"285",952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"286",953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"287",954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"288",962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"289",963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"290",964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"291",965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"292",966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"293",967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"294",968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"295",969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"296",970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"297",971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"298",972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"299",973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"300",974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"301",975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"302",976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"303",977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"304",981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
