"","SECCION","munn.x","edon.x","disloc2018","disloc2012","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"241",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"242",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"243",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"244",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"245",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"246",68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"247",69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"248",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"249",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"250",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"251",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"252",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"253",91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"254",92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"255",93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"256",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"257",95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"258",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"259",97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"260",98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"261",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"262",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"263",101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"264",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"265",103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"266",104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
