"","SECCION","munn.x","edon.x","edo.x","disloc2018.x","disloc2012.x","escenario1","escenario2","escenario3","pobtot","dsiSQ_E1","dsi_pob","dif","rural","urbano","mixto"
"109",929,5,9,"df",1,1,12,12,12,1461,0.752,0.818982423557729,0.066982423557729,0,0,0
"110",930,5,9,"df",1,1,12,12,12,1162,0.752,0.818982423557729,0.066982423557729,0,0,0
"111",931,5,9,"df",1,1,12,12,12,1489,0.752,0.818982423557729,0.066982423557729,0,0,0
"112",932,5,9,"df",1,1,12,12,12,1531,0.752,0.818982423557729,0.066982423557729,0,0,0
"113",933,5,9,"df",1,1,12,12,12,3049,0.752,0.818982423557729,0.066982423557729,0,0,0
"114",934,5,9,"df",1,1,12,12,12,988,0.752,0.818982423557729,0.066982423557729,0,0,0
"115",935,5,9,"df",1,1,12,12,12,1386,0.752,0.818982423557729,0.066982423557729,0,0,0
"116",936,5,9,"df",1,2,12,12,12,1284,0.752,0.818982423557729,0.066982423557729,0,0,0
"117",937,5,9,"df",1,2,12,12,12,1743,0.752,0.818982423557729,0.066982423557729,0,0,0
"118",938,5,9,"df",1,2,12,12,12,1492,0.752,0.818982423557729,0.066982423557729,0,0,0
"119",939,5,9,"df",1,2,12,12,12,1769,0.752,0.818982423557729,0.066982423557729,0,0,0
"120",940,5,9,"df",1,2,12,12,12,1585,0.752,0.818982423557729,0.066982423557729,0,0,0
"121",941,5,9,"df",1,2,12,12,12,1686,0.752,0.818982423557729,0.066982423557729,0,0,0
"122",942,5,9,"df",1,2,12,12,12,1047,0.752,0.818982423557729,0.066982423557729,0,0,0
"123",943,5,9,"df",1,2,12,12,12,1410,0.752,0.818982423557729,0.066982423557729,0,0,0
"124",944,5,9,"df",1,2,12,12,12,1531,0.752,0.818982423557729,0.066982423557729,0,0,0
"125",945,5,9,"df",1,2,12,12,12,1143,0.752,0.818982423557729,0.066982423557729,0,0,0
"126",946,5,9,"df",1,2,12,12,12,1411,0.752,0.818982423557729,0.066982423557729,0,0,0
"127",947,5,9,"df",1,2,12,12,12,2195,0.752,0.818982423557729,0.066982423557729,0,0,0
"128",948,5,9,"df",1,2,12,12,12,1319,0.752,0.818982423557729,0.066982423557729,0,0,0
"129",949,5,9,"df",1,2,12,12,12,1419,0.752,0.818982423557729,0.066982423557729,0,0,0
"130",950,5,9,"df",1,2,12,12,12,1186,0.752,0.818982423557729,0.066982423557729,0,0,0
"131",951,5,9,"df",1,2,12,12,12,1312,0.752,0.818982423557729,0.066982423557729,0,0,0
"132",952,5,9,"df",1,2,12,12,12,977,0.752,0.818982423557729,0.066982423557729,0,0,0
