"","seccion","munn","edon","dis_nueva","dis_anterior","pob_total","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_anterior","RRI_nueva","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","dcrit8","dist2015","dist2017","elec_cong_2016","elec_cong_2017","elec_cong_2018","elec_cong_2019","PANgob_antes","PRIgob_antes","PRDgob_antes","PVEMgob_antes","MCgob_antes","Indgob_antes","PANgob_despues","PRIgob_despues","PRDgob_despues","Morenagob_despues","MCgob_despues","Indgob_despues","PESgob_despues","PANcong_antes","PRIcong_antes","PRDcong_antes","PVEMcong_antes","MCcong_antes","PANcong_despues","PRIcong_despues","MCcong_despues","PENDIENTEcong_despues","Morenacong_despues","PANgober_2antes","PRIgober_2antes","PRDgober_2antes"
"68",273,10,4,4,14,3519,4,4,0,1,0,0,0,0,37535,794284,0,1.00767410734108,1.00767410734108,4,1,0.129,0.871,0.032,0.444,0.556,0,4,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"69",303,4,4,21,15,951,11,21,1,0,0,0,1,0,41552,794284,0,0.929884391371791,0.910258173350203,11,0.924,0.63,0.37,0.074,0.05,0.95,0,11,0.852,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"70",356,9,4,18,21,2711,21,18,0,1,0,0,1,0,42508,794284,0,0.889786572387494,0.889786572387494,21,1,0,1,0.037,0.133,0.867,0,21,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"71",448,9,4,19,13,3785,20,19,0,1,1,0,1,0,42764,794284,0,0.884460004186877,0.884460004186877,20,1,0.581,0.42,0.097,0.125,0.875,0,20,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"72",1,1,5,5,13,760,6,5,0,1,1,0,1,0,178285,2720963,0,1.22985158413908,0.953867052752615,4,0.578,0.548,0.452,0.185,0.039,0.961,0,4,0.484,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"73",3,2,5,1,15,3083,5,1,1,0,0,0,1,0,140185,2720963,0,1.42548354987427,1.21311258337197,5,1,0.735,0.265,0.061,0,1,0,5,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"74",57,4,5,12,5,7004,7,12,0,1,1,0,1,0,154328,2720963,0,1.101939942849,1.101939942849,7,0.857,0.228,0.771,0.094,0.058,0.942,0,7,0.81,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"75",84,6,5,6,12,2839,2,6,1,0,0,0,1,0,178745,2720963,0,0.972166922008358,0.951412277266497,1,0.278,0.752,0.248,0.064,0.385,0.615,0,1,0.228,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"76",131,9,5,7,10,2483,3,7,1,0,0,0,1,0,187791,2720963,0,1.03687649379314,0.905582203087475,3,0.79,0.385,0.616,0.054,0,0.981,0.019,3,0.684,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"77",173,10,5,6,11,5509,1,6,0,1,1,1,0,0,178745,2720963,0,0.952910320849023,0.951412277266497,1,0.278,0.632,0.368,0.103,0.442,0.558,0,1,0.228,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"78",323,18,5,5,12,1429,4,5,0,1,1,1,0,0,178285,2720963,0,0.972166922008358,0.953867052752615,4,0.578,0.752,0.248,0.064,0.385,0.615,0,4,0.484,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"79",577,25,5,2,16,4421,8,2,0,1,1,0,1,0,184757,2720963,0,1.10233279640637,0.920453284584617,8,0.835,0.859,0.141,0.054,0.035,0.965,0,8,0.784,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"80",730,30,5,14,4,2708,16,14,1,0,0,1,0,0,181490,2720963,0,0.988095843331842,0.93702235660367,14,0.393,0.966,0.034,0,0.493,0.507,0,14,0.495,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
