"","SECCION","munn.x","edon.x","edo.x","disloc2018.x","disloc2012.x","escenario1","escenario2","escenario3","pobtot","dsiSQ_E3","dsi_pob","dif","rural","urbano","mixto"
"202",2417,95,14,"jal",3,1,2,3,3,1492,0.991,0.993118838450891,0.002118838450891,1,0,0
"203",2418,96,14,"jal",3,1,8,3,3,2320,0.991,0.993118838450891,0.002118838450891,0,0,0
"204",2419,96,14,"jal",3,1,8,3,3,1451,0.991,0.993118838450891,0.002118838450891,0,0,0
"205",2420,96,14,"jal",3,1,8,3,3,717,0.991,0.993118838450891,0.002118838450891,1,0,0
"206",2421,96,14,"jal",3,1,8,3,3,606,0.991,0.993118838450891,0.002118838450891,1,0,0
"207",2422,96,14,"jal",3,1,8,3,3,1584,0.991,0.993118838450891,0.002118838450891,1,0,0
"208",2423,96,14,"jal",3,1,8,3,3,2301,0.991,0.993118838450891,0.002118838450891,1,0,0
"209",2742,105,14,"jal",3,1,2,3,3,1166,0.991,0.993118838450891,0.002118838450891,0,0,1
"210",2743,105,14,"jal",3,1,2,3,3,908,0.991,0.993118838450891,0.002118838450891,0,0,1
"211",2744,105,14,"jal",3,1,2,3,3,284,0.991,0.993118838450891,0.002118838450891,1,0,0
"212",2745,105,14,"jal",3,1,2,3,3,134,0.991,0.993118838450891,0.002118838450891,1,0,0
"213",2746,105,14,"jal",3,1,2,3,3,428,0.991,0.993118838450891,0.002118838450891,1,0,0
"214",2747,105,14,"jal",3,1,2,3,3,1513,0.991,0.993118838450891,0.002118838450891,1,0,0
"215",2839,115,14,"jal",3,1,2,3,3,864,0.991,0.993118838450891,0.002118838450891,0,0,1
"216",2840,115,14,"jal",3,1,2,3,3,857,0.991,0.993118838450891,0.002118838450891,0,0,1
"217",2841,115,14,"jal",3,1,2,3,3,1323,0.991,0.993118838450891,0.002118838450891,0,0,0
"218",2842,115,14,"jal",3,1,2,3,3,1308,0.991,0.993118838450891,0.002118838450891,0,0,1
"219",2843,115,14,"jal",3,1,2,3,3,264,0.991,0.993118838450891,0.002118838450891,1,0,0
"220",2844,115,14,"jal",3,1,2,3,3,507,0.991,0.993118838450891,0.002118838450891,1,0,0
"221",2845,115,14,"jal",3,1,2,3,3,411,0.991,0.993118838450891,0.002118838450891,1,0,0
"222",2846,115,14,"jal",3,1,2,3,3,119,0.991,0.993118838450891,0.002118838450891,1,0,0
"223",501,36,14,"jal",9,2,5,9,9,5485,1,1,0,0,0,1
"224",502,36,14,"jal",9,2,5,9,9,1220,1,1,0,0,0,0
"225",503,36,14,"jal",9,2,5,9,9,1731,1,1,0,0,0,0
"226",504,36,14,"jal",9,2,5,9,9,2543,1,1,0,0,0,1
"227",505,36,14,"jal",9,2,5,9,9,5060,1,1,0,0,0,1
"228",506,36,14,"jal",9,2,5,9,9,2015,1,1,0,0,0,0
"229",507,36,14,"jal",9,2,5,9,9,861,1,1,0,0,0,0
"230",508,36,14,"jal",9,2,5,9,9,1115,1,1,0,0,0,1
"231",509,36,14,"jal",9,2,5,9,9,3664,1,1,0,0,0,1
"232",510,36,14,"jal",9,2,5,9,9,1731,1,1,0,0,0,1
"233",511,36,14,"jal",9,2,5,9,9,1781,1,1,0,1,0,0
"234",512,36,14,"jal",9,2,5,9,9,3052,1,1,0,0,0,1
"235",513,36,14,"jal",9,2,5,9,9,720,1,1,0,1,0,0
"236",514,36,14,"jal",9,2,5,9,9,329,1,1,0,1,0,0
"237",517,36,14,"jal",9,2,5,9,9,85,1,1,0,1,0,0
"238",518,36,14,"jal",9,2,5,9,9,604,1,1,0,1,0,0
"239",519,36,14,"jal",9,2,5,9,9,539,1,1,0,1,0,0
"240",520,36,14,"jal",9,2,5,9,9,3327,1,1,0,0,0,1
"241",521,36,14,"jal",9,2,5,9,9,1940,1,1,0,1,0,0
"242",522,36,14,"jal",9,2,5,9,9,716,1,1,0,1,0,0
"243",523,36,14,"jal",9,2,5,9,9,318,1,1,0,1,0,0
"244",524,36,14,"jal",9,2,5,9,9,252,1,1,0,1,0,0
"245",525,36,14,"jal",9,2,5,9,9,2490,1,1,0,1,0,0
"246",526,36,14,"jal",9,2,5,9,9,2021,1,1,0,1,0,0
"247",527,36,14,"jal",9,2,5,9,9,2382,1,1,0,0,0,1
"248",528,36,14,"jal",9,2,5,9,9,376,1,1,0,1,0,0
"249",529,36,14,"jal",9,2,5,9,9,407,1,1,0,1,0,0
"250",3358,36,14,"jal",9,2,5,9,9,862,1,1,0,0,0,0
"251",3359,36,14,"jal",9,2,5,9,9,1391,1,1,0,0,0,0
"252",3360,36,14,"jal",9,2,5,9,9,1139,1,1,0,0,0,1
"253",3361,36,14,"jal",9,2,5,9,9,398,1,1,0,0,0,0
"254",3362,36,14,"jal",9,2,5,9,9,768,1,1,0,0,0,1
"255",1702,55,14,"jal",9,2,5,9,9,6062,1,1,0,0,0,0
"256",1703,55,14,"jal",9,2,5,9,9,3049,1,1,0,0,0,0
"257",1704,55,14,"jal",9,2,5,9,9,2119,1,1,0,0,0,0
"258",1705,55,14,"jal",9,2,5,9,9,978,1,1,0,0,0,0
"259",1706,55,14,"jal",9,2,5,9,9,3251,1,1,0,0,0,0
"260",1707,55,14,"jal",9,2,5,9,9,4274,1,1,0,0,0,0
"261",1708,55,14,"jal",9,2,5,9,9,2287,1,1,0,0,0,0
"262",1709,55,14,"jal",9,2,5,9,9,2003,1,1,0,0,0,0
"263",1710,55,14,"jal",9,2,5,9,9,1459,1,1,0,0,0,0
"264",1711,55,14,"jal",9,2,5,9,9,5999,1,1,0,0,0,0
"265",1712,55,14,"jal",9,2,5,9,9,1219,1,1,0,0,0,0
"266",1713,55,14,"jal",9,2,5,9,9,10422,1,1,0,0,0,1
"267",1714,55,14,"jal",9,2,5,9,9,2328,1,1,0,0,0,0
"268",1715,55,14,"jal",9,2,5,9,9,11152,1,1,0,0,0,0
"269",1716,55,14,"jal",9,2,5,9,9,412,1,1,0,0,0,0
