"","SECCION","munn.x","edon.x","disloc2017","disloc2015","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"221",13,2,26,7,7,4,4,4,1398,1,1,0,0,0,0
"222",13,2,26,7,7,4,4,4,11799,1,1,0,0,0,0
"223",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"224",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"225",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"226",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"227",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"228",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"229",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"230",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"231",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"232",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"233",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"234",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"235",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"236",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"237",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"238",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"239",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"240",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"241",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"242",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"243",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"244",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"245",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"246",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"247",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"248",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"249",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"250",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"251",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"252",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"253",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"254",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"255",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"256",77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"257",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"258",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"259",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"260",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
