"","SECCION","munn.x","edon.x","edo.x","disloc2018.x","disloc2012.x","escenario1","escenario2","escenario3_jge","pobtot","dsiSQ_E1","dsi_pob","dif","rural","urbano","mixto"
"85",272,7,17,"mor",2,1,10,10,9,2853,0.342,0.335320290831181,0.00667970916881905,0,0,1
"86",273,7,17,"mor",2,3,10,10,9,1751,0.342,0.335320290831181,0.00667970916881905,0,0,0
"87",274,7,17,"mor",2,3,10,10,9,1603,0.342,0.335320290831181,0.00667970916881905,0,0,0
"88",275,7,17,"mor",2,3,10,10,9,1080,0.342,0.335320290831181,0.00667970916881905,0,0,0
"89",276,7,17,"mor",2,3,10,10,9,1446,0.342,0.335320290831181,0.00667970916881905,0,0,0
"90",277,7,17,"mor",2,3,10,10,9,676,0.342,0.335320290831181,0.00667970916881905,0,0,0
"91",278,7,17,"mor",1,3,8,8,8,955,0.33,0.403471711976488,0.073471711976488,0,0,0
"92",279,7,17,"mor",1,3,8,8,8,1686,0.33,0.403471711976488,0.073471711976488,0,0,0
"93",280,7,17,"mor",1,3,8,8,8,375,0.33,0.403471711976488,0.073471711976488,0,0,0
"94",281,7,17,"mor",1,2,8,8,8,1327,0.33,0.403471711976488,0.073471711976488,0,0,0
"95",282,7,17,"mor",3,2,9,9,10,2020,0.171,0.129603635218428,0.041396364781572,0,0,0
"96",283,7,17,"mor",3,2,9,9,10,1804,0.171,0.129603635218428,0.041396364781572,0,0,0
"97",284,7,17,"mor",3,2,9,9,10,2007,0.171,0.129603635218428,0.041396364781572,0,0,0
"98",285,7,17,"mor",3,2,9,9,10,1511,0.171,0.129603635218428,0.041396364781572,0,0,0
"99",286,7,17,"mor",3,2,9,9,10,2012,0.171,0.129603635218428,0.041396364781572,0,0,0
"100",287,7,17,"mor",3,2,9,9,10,1476,0.171,0.129603635218428,0.041396364781572,0,0,0
"101",288,7,17,"mor",3,2,9,9,10,1789,0.171,0.129603635218428,0.041396364781572,0,0,0
"102",289,7,17,"mor",1,2,8,8,8,841,0.33,0.403471711976488,0.073471711976488,0,0,0
"103",290,7,17,"mor",1,2,8,8,8,2107,0.33,0.403471711976488,0.073471711976488,0,0,0
"104",291,7,17,"mor",1,2,8,8,8,840,0.33,0.403471711976488,0.073471711976488,0,0,0
"105",292,7,17,"mor",1,3,8,8,8,2388,0.33,0.403471711976488,0.073471711976488,0,0,0
"106",293,7,17,"mor",1,3,8,8,8,563,0.33,0.403471711976488,0.073471711976488,0,0,0
"107",294,7,17,"mor",2,3,10,10,9,991,0.342,0.335320290831181,0.00667970916881905,0,0,0
"108",295,7,17,"mor",2,3,10,10,9,865,0.342,0.335320290831181,0.00667970916881905,0,0,0
"109",296,7,17,"mor",2,3,10,10,9,884,0.342,0.335320290831181,0.00667970916881905,0,0,0
"110",297,7,17,"mor",2,3,10,10,9,1103,0.342,0.335320290831181,0.00667970916881905,0,0,0
"111",298,7,17,"mor",2,3,10,10,9,560,0.342,0.335320290831181,0.00667970916881905,0,0,0
"112",299,7,17,"mor",2,3,10,10,9,342,0.342,0.335320290831181,0.00667970916881905,0,0,0
"113",300,7,17,"mor",2,3,10,10,9,1132,0.342,0.335320290831181,0.00667970916881905,0,0,0
"114",301,7,17,"mor",2,3,10,10,9,1197,0.342,0.335320290831181,0.00667970916881905,0,0,0
"115",302,7,17,"mor",1,3,8,8,8,3834,0.33,0.403471711976488,0.073471711976488,0,0,0
"116",303,7,17,"mor",1,3,8,8,8,2724,0.33,0.403471711976488,0.073471711976488,0,0,0
"117",304,7,17,"mor",1,3,8,8,8,1084,0.33,0.403471711976488,0.073471711976488,0,0,0
"118",305,7,17,"mor",3,2,9,9,10,2564,0.171,0.129603635218428,0.041396364781572,0,0,0
"119",306,7,17,"mor",3,2,9,9,10,1845,0.171,0.129603635218428,0.041396364781572,0,0,0
"120",307,7,17,"mor",3,2,9,9,10,1244,0.171,0.129603635218428,0.041396364781572,0,0,0
"121",308,7,17,"mor",3,2,9,9,10,1797,0.171,0.129603635218428,0.041396364781572,0,0,0
"122",309,7,17,"mor",3,2,9,9,10,3089,0.171,0.129603635218428,0.041396364781572,0,0,0
"123",310,7,17,"mor",3,2,9,9,10,1023,0.171,0.129603635218428,0.041396364781572,0,0,0
"124",311,7,17,"mor",2,3,8,8,9,1478,0.33,0.403471711976488,0.073471711976488,0,0,0
"125",312,7,17,"mor",2,3,8,8,9,1333,0.33,0.403471711976488,0.073471711976488,0,0,0
"126",313,7,17,"mor",2,3,10,10,9,383,0.342,0.335320290831181,0.00667970916881905,0,0,0
"127",314,7,17,"mor",2,3,10,10,9,1306,0.342,0.335320290831181,0.00667970916881905,0,0,0
"128",315,7,17,"mor",2,3,10,10,9,1170,0.342,0.335320290831181,0.00667970916881905,0,0,0
"129",316,7,17,"mor",2,1,10,10,9,1700,0.342,0.335320290831181,0.00667970916881905,0,0,0
"130",317,7,17,"mor",2,1,10,10,9,2449,0.342,0.335320290831181,0.00667970916881905,0,0,0
"131",318,7,17,"mor",2,3,10,10,9,1731,0.342,0.335320290831181,0.00667970916881905,0,0,0
"132",319,7,17,"mor",2,3,10,10,9,869,0.342,0.335320290831181,0.00667970916881905,0,0,0
