"seccion","munn","edon","disloc2017","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
168,37,31,7,14,1908,6,7,1,0,0,0,0,0,15,0.299,0.481,0.228,0.291,0.105,0.895,0,15,0.315
169,37,31,7,14,1217,6,7,0,0,1,0,0,0,15,0.299,0.481,0.228,0.291,0.105,0.895,0,15,0.315
170,37,31,7,14,1623,6,7,1,0,0,0,1,0,15,0.299,0.481,0.228,0.291,0.105,0.895,0,15,0.315
171,37,31,7,14,93,6,7,0,1,0,0,1,0,15,0.299,0.481,0.228,0.291,0.105,0.895,0,15,0.315
172,38,31,1,8,3584,5,1,0,0,1,0,0,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
173,38,31,1,8,1915,5,1,0,0,1,0,0,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
174,38,31,1,8,1264,5,1,1,0,0,0,1,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
175,38,31,1,8,1385,5,1,1,0,0,1,0,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
176,38,31,1,8,1353,5,1,1,0,0,0,0,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
177,38,31,1,8,3256,5,1,1,0,0,0,0,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
178,38,31,1,8,3885,5,1,1,0,0,0,0,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
179,38,31,1,8,1818,5,1,1,0,0,0,0,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
180,38,31,1,8,1778,5,1,0,0,1,0,0,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
181,38,31,1,8,2392,5,1,1,0,0,0,0,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
182,38,31,1,8,2309,5,1,0,0,1,0,1,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
183,38,31,1,8,1068,5,1,1,0,0,0,1,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
184,38,31,1,8,774,5,1,1,0,0,0,0,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
185,38,31,1,8,220,5,1,0,1,0,0,0,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
186,38,31,1,8,3730,5,1,0,0,1,0,1,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
187,39,31,4,9,1874,3,4,0,0,1,0,1,0,9,0.935,0.652,0.169,0.18,0.067,0.933,0,9,0.933
188,39,31,4,9,1933,3,4,1,0,0,0,0,0,9,0.935,0.652,0.169,0.18,0.067,0.933,0,9,0.933
189,40,31,5,15,2270,6,5,1,0,0,0,0,0,15,0.211,0.374,0.336,0.29,0.138,0.862,0,15,0.237
190,40,31,5,15,875,6,5,1,0,0,0,1,0,15,0.211,0.374,0.336,0.29,0.138,0.862,0,15,0.237
191,40,31,5,15,1769,6,5,0,0,1,0,1,0,15,0.211,0.374,0.336,0.29,0.138,0.862,0,15,0.237
192,40,31,5,15,1503,6,5,1,0,0,0,0,0,15,0.211,0.374,0.336,0.29,0.138,0.862,0,15,0.237
193,40,31,5,15,1962,6,5,1,0,0,0,0,0,15,0.211,0.374,0.336,0.29,0.138,0.862,0,15,0.237
194,40,31,5,15,1914,6,5,1,0,0,0,1,0,15,0.211,0.374,0.336,0.29,0.138,0.862,0,15,0.237
195,40,31,5,15,2153,6,5,1,0,0,0,1,0,15,0.211,0.374,0.336,0.29,0.138,0.862,0,15,0.237
196,40,31,5,15,1637,6,5,1,0,0,0,0,0,15,0.211,0.374,0.336,0.29,0.138,0.862,0,15,0.237
197,40,31,5,15,2147,6,5,1,0,0,0,0,0,15,0.211,0.374,0.336,0.29,0.138,0.862,0,15,0.237
198,40,31,5,15,2252,6,5,0,0,1,0,1,0,15,0.211,0.374,0.336,0.29,0.138,0.862,0,15,0.237
199,40,31,5,15,1804,6,5,0,0,1,0,1,0,15,0.211,0.374,0.336,0.29,0.138,0.862,0,15,0.237
200,40,31,5,15,1663,6,5,0,0,1,0,0,0,15,0.211,0.374,0.336,0.29,0.138,0.862,0,15,0.237
201,40,31,5,15,1982,6,5,1,0,0,0,0,0,15,0.211,0.374,0.336,0.29,0.138,0.862,0,15,0.237
202,40,31,5,15,605,6,5,0,1,0,0,1,0,15,0.211,0.374,0.336,0.29,0.138,0.862,0,15,0.237
203,40,31,5,15,1442,6,5,0,0,1,0,1,0,15,0.211,0.374,0.336,0.29,0.138,0.862,0,15,0.237
204,41,31,2,6,1037,2,2,1,0,0,0,0,0,14,0.169,0.818,0.127,0.055,0.087,0.913,0,14,0.212
205,41,31,2,6,4141,2,2,1,0,0,0,0,0,14,0.169,0.818,0.127,0.055,0.087,0.913,0,14,0.212
206,41,31,2,6,5976,2,2,1,0,0,0,1,0,14,0.169,0.818,0.127,0.055,0.087,0.913,0,14,0.212
207,41,31,2,6,11349,2,2,0,0,1,0,1,0,14,0.169,0.818,0.127,0.055,0.087,0.913,0,14,0.212
208,41,31,2,6,3169,2,2,1,0,0,0,0,0,14,0.169,0.818,0.127,0.055,0.087,0.913,0,14,0.212
209,41,31,2,6,1488,2,2,1,0,0,0,0,0,14,0.169,0.818,0.127,0.055,0.087,0.913,0,14,0.212
210,41,31,2,6,1996,2,2,1,0,0,0,1,0,14,0.169,0.818,0.127,0.055,0.087,0.913,0,14,0.212
211,41,31,2,6,4696,2,2,1,0,0,0,1,0,14,0.169,0.818,0.127,0.055,0.087,0.913,0,14,0.212
212,41,31,2,6,4554,2,2,1,0,0,0,0,0,14,0.169,0.818,0.127,0.055,0.087,0.913,0,14,0.212
213,41,31,2,6,5814,2,2,1,0,0,0,0,0,14,0.169,0.818,0.127,0.055,0.087,0.913,0,14,0.212
214,41,31,2,6,2097,2,2,1,0,0,0,1,0,14,0.169,0.818,0.127,0.055,0.087,0.913,0,14,0.212
215,41,31,2,6,3324,2,2,1,0,0,0,1,0,14,0.169,0.818,0.127,0.055,0.087,0.913,0,14,0.212
216,41,31,2,6,846,2,2,1,0,0,0,0,0,14,0.169,0.818,0.127,0.055,0.087,0.913,0,14,0.212
217,41,31,2,6,9626,2,2,1,0,0,0,0,0,14,0.169,0.818,0.127,0.055,0.087,0.913,0,14,0.212
218,41,31,2,6,8113,2,2,1,0,0,0,1,0,14,0.169,0.818,0.127,0.055,0.087,0.913,0,14,0.212
