"seccion","munn.x","edon.x","edo.x","disfed1979.x","disfed1997.x","disfed2006.x","disfed2018.x","disloc2012.x","disloc2018.x","cab","nota.x","X","munn.y","edon.y","edo.y","disfed1979.y","disfed1997.y","disfed2006.y","disfed2018.y","disloc2012.y","disloc2018.y","nota.y","escenario1","escenario2","escenario3","pri_clv1","pri_clv2","juanZepedaPerez1","lorenzoLopezMendez1a","lorenzoLopezMendez1b","antonioPerezGomez1","leonardoLopezPerez1","magdalenaGironLopez1","JoseDomingoVazquezLopez1a","JoseDomingoVazquezLopez1b","esc1_priCLV1","esc2_priCLV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
698,51,7,"cps",8,11,7,7,15,18,"Mapastepec","0",698,51,7,"cps",8,11,7,7,15,24,NA,11,11,24,3,24,"11","11","11","11","11","11","11","11",0,0,16,1,0.292,11,0.285
699,51,7,"cps",8,11,7,7,15,18,"Mapastepec","0",699,51,7,"cps",8,11,7,7,15,24,NA,11,11,24,3,24,"11","11","11","11","11","11","11","11",0,0,16,1,0.292,11,0.285
700,51,7,"cps",8,11,7,7,15,18,"Mapastepec","0",700,51,7,"cps",8,11,7,7,15,24,NA,11,11,24,3,24,"11","11","11","11","11","11","11","11",0,0,16,1,0.292,11,0.285
701,51,7,"cps",8,11,7,7,15,18,"Mapastepec","0",701,51,7,"cps",8,11,7,7,15,24,NA,11,11,24,3,24,"11","11","11","11","11","11","11","11",0,0,16,1,0.292,11,0.285
702,51,7,"cps",8,11,7,7,15,18,"Mapastepec","0",702,51,7,"cps",8,11,7,7,15,24,NA,11,11,24,3,24,"11","11","11","11","11","11","11","11",0,0,16,1,0.292,11,0.285
703,51,7,"cps",8,11,7,7,15,18,"Mapastepec","0",703,51,7,"cps",8,11,7,7,15,24,NA,11,11,24,3,24,"11","11","11","11","11","11","11","11",0,0,16,1,0.292,11,0.285
704,51,7,"cps",8,11,7,7,15,18,"Mapastepec","0",704,51,7,"cps",8,11,7,7,15,24,NA,11,11,24,3,24,"11","11","11","11","11","11","11","11",0,0,16,1,0.292,11,0.285
705,51,7,"cps",8,11,7,7,15,18,"Mapastepec","0",705,51,7,"cps",8,11,7,7,15,24,NA,11,11,24,3,24,"11","11","11","11","11","11","11","11",0,0,16,1,0.292,11,0.285
706,51,7,"cps",8,11,7,7,15,18,"Mapastepec","0",706,51,7,"cps",8,11,7,7,15,24,NA,11,11,24,3,24,"11","11","11","11","11","11","11","11",0,0,16,1,0.292,11,0.285
707,51,7,"cps",8,11,7,7,15,18,"Mapastepec","0",707,51,7,"cps",8,11,7,7,15,24,NA,11,11,24,3,24,"11","11","11","11","11","11","11","11",0,0,16,1,0.292,11,0.285
708,51,7,"cps",8,11,7,7,15,18,"Mapastepec","0",708,51,7,"cps",8,11,7,7,15,24,NA,11,11,24,3,24,"11","11","11","11","11","11","11","11",0,0,16,1,0.292,11,0.285
709,51,7,"cps",8,11,7,7,15,18,"Mapastepec","0",709,51,7,"cps",8,11,7,7,15,24,NA,11,11,24,3,24,"11","11","11","11","11","11","11","11",0,0,16,1,0.292,11,0.285
710,51,7,"cps",8,11,7,7,15,18,"Mapastepec","0",710,51,7,"cps",8,11,7,7,15,24,NA,11,11,24,3,24,"11","11","11","11","11","11","11","11",0,0,16,1,0.292,11,0.285
711,51,7,"cps",8,11,7,7,15,18,"Mapastepec","0",711,51,7,"cps",8,11,7,7,15,24,NA,11,11,24,3,24,"11","11","11","11","11","11","11","11",0,0,16,1,0.292,11,0.285
712,51,7,"cps",8,11,7,7,15,18,"Mapastepec","0",712,51,7,"cps",8,11,7,7,15,24,NA,11,11,24,3,24,"11","11","11","11","11","11","11","11",0,0,16,1,0.292,11,0.285
