"seccion","munn","edon","disloc2018","disloc2015","pobtot","esc1","esc3","SQ","dsi_pob"
524,20,24,1,1,1510,3,5,1,1
525,20,24,1,1,1528,3,5,1,1
526,20,24,1,1,1944,3,5,1,1
527,20,24,1,1,2895,3,5,1,1
528,20,24,1,1,476,3,5,1,1
529,20,24,1,1,541,3,5,1,1
530,20,24,1,1,340,3,5,1,1
531,20,24,1,1,1764,3,5,1,1
532,20,24,1,1,1099,3,5,1,1
533,20,24,1,1,995,3,5,1,1
534,20,24,1,1,233,3,5,1,1
535,20,24,1,1,157,3,5,1,1
536,20,24,1,1,2049,3,5,1,1
537,20,24,1,1,135,3,5,1,1
538,20,24,1,1,394,3,5,1,1
539,20,24,1,1,969,3,5,1,1
540,20,24,1,1,809,3,5,1,1
541,20,24,1,1,1021,3,5,1,1
542,20,24,1,1,210,3,5,1,1
543,20,24,1,1,248,3,5,1,1
544,20,24,1,1,603,3,5,1,1
545,20,24,1,1,1176,3,5,1,1
546,20,24,1,1,426,3,5,1,1
547,20,24,1,1,563,3,5,1,1
548,20,24,1,1,335,3,5,1,1
549,20,24,1,1,751,3,5,1,1
550,20,24,1,1,371,3,5,1,1
551,20,24,1,1,190,3,5,1,1
552,20,24,1,1,884,3,5,1,1
553,20,24,1,1,873,3,5,1,1
554,20,24,1,1,622,3,5,1,1
555,21,24,4,4,2005,1,1,3,0.587038939502188
556,21,24,4,4,2214,1,1,3,0.587038939502188
557,21,24,4,4,1265,1,1,3,0.587038939502188
558,21,24,4,4,1016,1,1,3,0.587038939502188
559,21,24,4,4,2181,1,1,3,0.587038939502188
560,21,24,4,4,1415,1,1,3,0.587038939502188
561,21,24,4,4,1535,1,1,3,0.587038939502188
562,21,24,4,4,1173,1,1,3,0.587038939502188
563,21,24,4,4,378,1,1,3,0.587038939502188
564,21,24,4,4,438,1,1,3,0.587038939502188
565,21,24,4,4,2520,1,1,3,0.587038939502188
566,21,24,4,4,1276,1,1,3,0.587038939502188
567,21,24,4,4,615,1,1,3,0.587038939502188
568,21,24,4,4,977,1,1,3,0.587038939502188
569,21,24,4,4,498,1,1,3,0.587038939502188
570,21,24,4,4,512,1,1,3,0.587038939502188
571,21,24,4,4,812,1,1,3,0.587038939502188
572,21,24,4,4,2560,1,1,3,0.587038939502188
573,21,24,4,4,2496,1,1,3,0.587038939502188
574,21,24,4,4,924,1,1,3,0.587038939502188
575,21,24,4,4,500,1,1,3,0.587038939502188
576,21,24,4,4,752,1,1,3,0.587038939502188
577,21,24,4,4,1189,1,1,3,0.587038939502188
578,21,24,4,4,993,1,1,3,0.587038939502188
579,21,24,4,4,1483,1,1,3,0.587038939502188
580,21,24,4,4,2296,1,1,3,0.587038939502188
581,21,24,4,4,1257,1,1,3,0.587038939502188
582,21,24,4,4,1498,1,1,3,0.587038939502188
583,21,24,4,4,948,1,1,3,0.587038939502188
584,21,24,4,4,951,1,1,3,0.587038939502188
585,21,24,4,4,2253,1,1,3,0.587038939502188
586,21,24,4,4,2787,1,1,3,0.587038939502188
587,21,24,4,4,2527,1,1,3,0.587038939502188
588,21,24,4,4,2246,1,1,3,0.587038939502188
589,21,24,4,4,1289,1,1,3,0.587038939502188
590,21,24,4,4,1211,1,1,3,0.587038939502188
591,22,24,4,4,958,4,1,4,0.54148427672956
592,22,24,4,4,1718,4,1,4,0.54148427672956
593,22,24,4,4,2751,4,1,4,0.54148427672956
594,22,24,4,4,217,4,1,4,0.54148427672956
596,22,24,4,4,265,4,1,4,0.54148427672956
597,22,24,4,4,874,4,1,4,0.54148427672956
598,22,24,4,4,647,4,1,4,0.54148427672956
599,22,24,4,4,411,4,1,4,0.54148427672956
600,22,24,4,4,468,4,1,4,0.54148427672956
601,22,24,4,4,826,4,1,4,0.54148427672956
602,22,24,4,4,549,4,1,4,0.54148427672956
603,22,24,4,4,784,4,1,4,0.54148427672956
604,22,24,4,4,787,4,1,4,0.54148427672956
605,22,24,4,4,594,4,1,4,0.54148427672956
606,22,24,4,4,720,4,1,4,0.54148427672956
607,22,24,4,4,845,4,1,4,0.54148427672956
608,22,24,4,4,1192,4,1,4,0.54148427672956
609,22,24,4,4,640,4,1,4,0.54148427672956
610,22,24,4,4,640,4,1,4,0.54148427672956
611,22,24,4,4,495,4,1,4,0.54148427672956
612,22,24,4,4,926,4,1,4,0.54148427672956
613,22,24,4,4,1023,4,1,4,0.54148427672956
614,22,24,4,4,350,4,1,4,0.54148427672956
615,22,24,4,4,392,4,1,4,0.54148427672956
616,23,24,11,11,1917,2,3,10,0.905619200229599
617,23,24,11,11,1534,2,3,10,0.905619200229599
618,23,24,11,11,2923,2,3,10,0.905619200229599
619,23,24,11,11,653,2,3,10,0.905619200229599
620,23,24,11,11,641,2,3,10,0.905619200229599
621,23,24,11,11,837,2,3,10,0.905619200229599
622,23,24,11,11,587,2,3,10,0.905619200229599
623,23,24,11,11,1558,2,3,10,0.905619200229599
624,23,24,11,11,449,2,3,10,0.905619200229599
625,23,24,11,11,352,2,3,10,0.905619200229599
626,23,24,11,11,1438,2,3,10,0.905619200229599
627,23,24,11,11,708,2,3,10,0.905619200229599
628,23,24,11,11,498,2,3,10,0.905619200229599
629,23,24,11,11,178,2,3,10,0.905619200229599
630,23,24,11,11,242,2,3,10,0.905619200229599
631,23,24,11,11,130,2,3,10,0.905619200229599
632,23,24,11,11,149,2,3,10,0.905619200229599
633,23,24,11,11,991,2,3,10,0.905619200229599
634,24,24,10,10,1550,2,6,10,0.905619200229599
635,24,24,10,10,1708,2,6,10,0.905619200229599
636,24,24,10,10,2606,2,6,10,0.905619200229599
637,24,24,10,10,1651,2,6,10,0.905619200229599
638,24,24,10,10,2423,2,6,10,0.905619200229599
639,24,24,10,10,1827,2,6,10,0.905619200229599
640,24,24,10,10,1024,2,6,10,0.905619200229599
641,24,24,10,10,2777,2,6,10,0.905619200229599
642,24,24,10,10,1749,2,6,10,0.905619200229599
643,24,24,10,10,1021,2,6,10,0.905619200229599
644,24,24,10,10,428,2,6,10,0.905619200229599
645,24,24,10,10,973,2,6,10,0.905619200229599
646,24,24,10,10,2567,2,6,10,0.905619200229599
647,24,24,10,10,1774,2,6,10,0.905619200229599
648,24,24,10,10,1016,2,6,10,0.905619200229599
649,24,24,10,10,980,2,6,10,0.905619200229599
650,24,24,10,10,1132,2,6,10,0.905619200229599
651,24,24,10,10,1128,2,6,10,0.905619200229599
652,24,24,10,10,893,2,6,10,0.905619200229599
653,24,24,10,10,1175,2,6,10,0.905619200229599
654,24,24,10,10,773,2,6,10,0.905619200229599
655,24,24,10,10,4024,2,6,10,0.905619200229599
656,24,24,10,10,3365,2,6,10,0.905619200229599
657,24,24,10,10,3790,2,6,10,0.905619200229599
658,24,24,10,10,1479,2,6,10,0.905619200229599
659,24,24,10,10,782,2,6,10,0.905619200229599
660,24,24,10,10,1945,2,6,10,0.905619200229599
661,24,24,10,10,3544,2,6,10,0.905619200229599
662,24,24,10,10,1108,2,6,10,0.905619200229599
663,24,24,10,10,772,2,6,10,0.905619200229599
664,24,24,10,10,404,2,6,10,0.905619200229599
665,24,24,10,10,1112,2,6,10,0.905619200229599
666,24,24,10,10,1038,2,6,10,0.905619200229599
667,24,24,10,10,405,2,6,10,0.905619200229599
668,24,24,10,10,1417,2,6,10,0.905619200229599
670,24,24,10,10,1587,2,6,10,0.905619200229599
671,24,24,10,10,532,2,6,10,0.905619200229599
672,24,24,10,10,246,2,6,10,0.905619200229599
673,24,24,10,10,310,2,6,10,0.905619200229599
674,24,24,10,10,336,2,6,10,0.905619200229599
675,24,24,10,10,440,2,6,10,0.905619200229599
676,24,24,10,10,571,2,6,10,0.905619200229599
677,24,24,10,10,658,2,6,10,0.905619200229599
678,24,24,10,10,1190,2,6,10,0.905619200229599
679,24,24,10,10,576,2,6,10,0.905619200229599
680,24,24,10,10,170,2,6,10,0.905619200229599
681,24,24,10,10,757,2,6,10,0.905619200229599
682,24,24,10,10,173,2,6,10,0.905619200229599
683,24,24,10,10,685,2,6,10,0.905619200229599
684,24,24,10,10,344,2,6,10,0.905619200229599
685,24,24,10,10,560,2,6,10,0.905619200229599
686,24,24,10,10,978,2,6,10,0.905619200229599
687,24,24,10,10,260,2,6,10,0.905619200229599
688,24,24,10,10,426,2,6,10,0.905619200229599
689,24,24,10,10,1072,2,6,10,0.905619200229599
690,24,24,10,10,835,2,6,10,0.905619200229599
691,24,24,10,10,294,2,6,10,0.905619200229599
692,24,24,10,10,770,2,6,10,0.905619200229599
693,24,24,10,10,770,2,6,10,0.905619200229599
694,24,24,10,10,457,2,6,10,0.905619200229599
695,24,24,10,10,3316,2,6,10,0.905619200229599
696,24,24,10,10,2018,2,6,10,0.905619200229599
697,24,24,10,10,1190,2,6,10,0.905619200229599
698,24,24,10,10,627,2,6,10,0.905619200229599
699,24,24,10,10,460,2,6,10,0.905619200229599
700,24,24,10,10,957,2,6,10,0.905619200229599
701,24,24,10,10,1046,2,6,10,0.905619200229599
702,24,24,10,10,351,2,6,10,0.905619200229599
703,24,24,10,10,672,2,6,10,0.905619200229599
704,24,24,10,10,316,2,6,10,0.905619200229599
705,24,24,10,10,743,2,6,10,0.905619200229599
706,24,24,10,10,2085,2,6,10,0.905619200229599
707,24,24,10,10,321,2,6,10,0.905619200229599
708,24,24,10,10,154,2,6,10,0.905619200229599
709,24,24,10,10,753,2,6,10,0.905619200229599
710,24,24,10,10,255,2,6,10,0.905619200229599
711,24,24,10,10,1670,2,6,10,0.905619200229599
712,24,24,10,10,165,2,6,10,0.905619200229599
713,24,24,10,10,986,2,6,10,0.905619200229599
714,24,24,10,10,119,2,6,10,0.905619200229599
