"seccion","edon.x","edo","munn.x","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2015","X","edon.y","munn.y","escenario1","escenario2","escenario3","pan_clv1","prd_cnv1","pan_clv2","prd_clv2","esc1_panCLV1","esc1_prdCNV1","esc2_panCLV2","esc2_prdCLV2","E1","dsiE1_E3"
97,24,"san",5,4,3,3,3,11,11,96,24,5,7,9,3,9,7,9,3,0,1,1,0,7,0.424
98,24,"san",6,2,1,1,1,1,1,97,24,6,3,1,5,1,3,1,5,0,1,1,0,3,0.891
99,24,"san",6,2,1,1,1,1,1,98,24,6,3,1,5,1,3,1,5,0,1,1,0,3,0.891
101,24,"san",6,2,1,1,1,1,1,99,24,6,3,1,5,1,3,1,5,0,1,1,0,3,0.891
102,24,"san",6,2,1,1,1,1,1,100,24,6,3,1,5,1,3,1,5,0,1,1,0,3,0.891
103,24,"san",6,2,1,1,1,1,1,101,24,6,3,1,5,1,3,1,5,0,1,1,0,3,0.891
105,24,"san",6,2,1,1,1,1,1,102,24,6,3,1,5,1,3,1,5,0,1,1,0,3,0.891
106,24,"san",6,2,1,1,1,1,1,103,24,6,3,1,5,1,3,1,5,0,1,1,0,3,0.891
107,24,"san",6,2,1,1,1,1,1,104,24,6,3,1,5,1,3,1,5,0,1,1,0,3,0.891
108,24,"san",6,2,1,1,1,1,1,105,24,6,3,1,5,1,3,1,5,0,1,1,0,3,0.891
109,24,"san",6,2,1,1,1,1,1,106,24,6,3,1,5,1,3,1,5,0,1,1,0,3,0.891
110,24,"san",6,2,1,1,1,1,1,107,24,6,3,1,5,1,3,1,5,0,1,1,0,3,0.891
111,24,"san",6,2,1,1,1,1,1,108,24,6,3,1,5,1,3,1,5,0,1,1,0,3,0.891
112,24,"san",6,2,1,1,1,1,1,109,24,6,3,1,5,1,3,1,5,0,1,1,0,3,0.891
113,24,"san",6,2,1,1,1,1,1,110,24,6,3,1,5,1,3,1,5,0,1,1,0,3,0.891
114,24,"san",6,2,1,1,1,1,1,111,24,6,3,1,5,1,3,1,5,0,1,1,0,3,0.891
115,24,"san",6,2,1,1,1,1,1,112,24,6,3,1,5,1,3,1,5,0,1,1,0,3,0.891
116,24,"san",6,2,1,1,1,1,1,113,24,6,3,1,5,1,3,1,5,0,1,1,0,3,0.891
117,24,"san",6,2,1,1,1,1,1,114,24,6,3,1,5,1,3,1,5,0,1,1,0,3,0.891
118,24,"san",6,2,1,1,1,1,1,115,24,6,3,1,5,1,3,1,5,0,1,1,0,3,0.891
119,24,"san",7,2,1,1,1,1,1,116,24,7,3,1,5,1,3,1,5,0,1,1,0,3,0.891
120,24,"san",7,2,1,1,1,1,1,117,24,7,3,1,5,1,3,1,5,0,1,1,0,3,0.891
121,24,"san",7,2,1,1,1,1,1,118,24,7,3,1,5,1,3,1,5,0,1,1,0,3,0.891
122,24,"san",7,2,1,1,1,1,1,119,24,7,3,1,5,1,3,1,5,0,1,1,0,3,0.891
123,24,"san",7,2,1,1,1,1,1,120,24,7,3,1,5,1,3,1,5,0,1,1,0,3,0.891
124,24,"san",7,2,1,1,1,1,1,121,24,7,3,1,5,1,3,1,5,0,1,1,0,3,0.891
