"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","disloc2013","X","edon.y","munn.y","escenario1","escenario2","escenario3","panal_cnv1","pri_clv1","pan_cnv2","esc1_panalCNV1","esc1_priCLV1","esc2_panCNV2","SQ","dsiSQ_E1","dsiSQ_E3"
150,1,1,"ags",1,2,2,2,9,16,148,1,1,9,9,9,9,6,9,1,0,1,16,0.322,0.322
151,1,1,"ags",1,2,2,2,9,16,149,1,1,9,9,9,9,6,9,1,0,1,16,0.322,0.322
152,1,1,"ags",1,2,2,2,9,16,150,1,1,9,9,9,9,6,9,1,0,1,16,0.322,0.322
153,1,1,"ags",1,2,2,2,9,16,151,1,1,9,9,9,9,6,9,1,0,1,16,0.322,0.322
154,1,1,"ags",1,3,2,2,9,15,152,1,1,9,9,9,9,6,9,1,0,1,16,0.322,0.322
155,1,1,"ags",1,3,2,2,9,14,153,1,1,9,9,9,15,6,9,0,0,1,16,0.322,0.322
156,1,1,"ags",1,3,2,2,15,14,154,1,1,15,15,15,15,12,15,1,0,1,14,0.278,0.278
157,1,1,"ags",1,3,2,2,15,14,155,1,1,15,15,15,9,12,15,0,0,1,14,0.278,0.278
158,1,1,"ags",1,3,2,2,15,15,156,1,1,15,15,15,9,12,15,0,0,1,14,0.278,0.278
159,1,1,"ags",1,3,2,2,15,15,157,1,1,15,15,15,9,12,15,0,0,1,14,0.278,0.278
160,1,1,"ags",1,3,2,2,15,15,158,1,1,15,15,15,9,12,15,0,0,1,14,0.278,0.278
161,1,1,"ags",1,3,3,3,6,11,159,1,1,6,6,6,6,11,6,1,0,1,18,0.594,0.594
162,1,1,"ags",1,3,3,3,6,11,160,1,1,6,6,6,6,11,6,1,0,1,18,0.594,0.594
163,1,1,"ags",1,3,3,3,6,11,161,1,1,6,6,6,6,11,6,1,0,1,18,0.594,0.594
164,1,1,"ags",1,3,2,3,15,14,162,1,1,15,15,15,15,12,15,1,0,1,14,0.278,0.278
165,1,1,"ags",1,3,2,3,15,14,163,1,1,15,15,15,15,12,15,1,0,1,14,0.278,0.278
167,1,1,"ags",1,3,2,3,15,14,164,1,1,15,15,15,15,12,15,1,0,1,14,0.278,0.278
168,1,1,"ags",1,3,2,3,15,14,165,1,1,15,15,15,15,12,15,1,0,1,14,0.278,0.278
169,1,1,"ags",1,3,2,3,15,14,166,1,1,15,15,15,15,12,15,1,0,1,14,0.278,0.278
170,1,1,"ags",1,3,2,3,15,14,167,1,1,15,15,15,15,3,15,1,0,1,14,0.278,0.278
171,1,1,"ags",1,2,3,3,10,6,168,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
172,1,1,"ags",1,2,3,3,10,6,169,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
173,1,1,"ags",1,2,3,3,10,6,170,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
174,1,1,"ags",1,2,3,3,10,6,171,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
175,1,1,"ags",1,2,3,3,10,6,172,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
176,1,1,"ags",1,2,3,3,10,17,173,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
177,1,1,"ags",1,2,3,3,10,6,174,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
178,1,1,"ags",1,3,3,3,10,6,175,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
179,1,1,"ags",1,3,3,3,10,11,176,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
180,1,1,"ags",1,3,3,3,12,11,177,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
181,1,1,"ags",1,3,3,3,12,11,178,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
182,1,1,"ags",1,3,3,3,12,11,179,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
183,1,1,"ags",1,3,3,3,12,11,180,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
184,1,1,"ags",1,3,3,3,12,11,181,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
185,1,1,"ags",1,3,2,3,12,11,182,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
186,1,1,"ags",1,3,2,3,12,11,183,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
187,1,1,"ags",1,3,3,3,12,11,184,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
188,1,1,"ags",1,3,3,3,12,11,185,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
189,1,1,"ags",1,3,3,3,12,11,186,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
190,1,1,"ags",1,3,3,3,12,11,187,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
191,1,1,"ags",1,3,3,3,12,11,188,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
192,1,1,"ags",1,3,3,3,12,11,189,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
193,1,1,"ags",1,3,3,3,12,11,190,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
194,1,1,"ags",1,3,3,3,12,11,191,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
195,1,1,"ags",1,3,3,3,12,11,192,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
196,1,1,"ags",1,3,3,3,12,11,193,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
197,1,1,"ags",1,3,3,3,12,11,194,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
198,1,1,"ags",1,3,3,3,10,17,195,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
199,1,1,"ags",1,3,3,3,10,17,196,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
200,1,1,"ags",1,3,3,3,12,11,197,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
201,1,1,"ags",1,3,3,3,12,11,198,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
202,1,1,"ags",1,3,3,3,12,11,199,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
203,1,1,"ags",1,3,3,3,12,11,200,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
204,1,1,"ags",1,3,3,3,12,11,201,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
205,1,1,"ags",1,3,3,3,12,11,202,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
206,1,1,"ags",1,3,3,3,12,11,203,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
207,1,1,"ags",1,3,3,3,12,11,204,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
208,1,1,"ags",1,3,3,3,12,11,205,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
209,1,1,"ags",1,3,3,3,12,11,206,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
210,1,1,"ags",1,3,3,3,12,11,207,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
211,1,1,"ags",1,3,3,3,12,11,208,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
212,1,1,"ags",1,3,3,3,12,11,209,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
213,1,1,"ags",1,3,3,3,12,11,210,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
214,1,1,"ags",1,3,3,3,10,17,211,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
215,1,1,"ags",1,3,3,3,10,17,212,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
216,1,1,"ags",1,3,3,3,10,17,213,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
217,1,1,"ags",1,3,3,3,10,17,214,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
218,1,1,"ags",1,3,3,3,10,17,215,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
219,1,1,"ags",1,3,3,3,10,17,216,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
220,1,1,"ags",1,3,3,3,10,17,217,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
221,1,1,"ags",1,3,3,3,10,17,218,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
222,1,1,"ags",1,3,3,3,10,17,219,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
223,1,1,"ags",1,3,3,3,10,17,220,1,1,10,10,10,10,10,10,1,1,1,17,0.671,0.671
224,1,1,"ags",1,3,3,3,10,17,221,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
225,1,1,"ags",1,3,3,3,10,17,222,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
226,1,1,"ags",1,3,3,3,10,17,223,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
227,1,1,"ags",1,3,3,3,10,17,224,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
228,1,1,"ags",1,3,3,3,10,17,225,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
229,1,1,"ags",1,3,3,3,10,17,226,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
230,1,1,"ags",1,3,3,3,10,17,227,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
231,1,1,"ags",1,3,3,3,10,17,228,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
232,1,1,"ags",1,3,3,3,10,9,229,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
233,1,1,"ags",1,3,3,3,10,17,230,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
