"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2012","cab","X","edon.y","munn.y","escenario1","escenario2","escenario3_jge","escenario3","mc_clv1","pan_iee1","pri_clv1","pan_clv2","prd_clv2","prd_cnv2","esc1_priCLV1","esc1_panIEE1","esc1_mcCLV1","esc2_panCLV2","esc2_prdCLV2","esc2_prdCNV2","E1","dsiE1_E3"
89,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",89,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,1,0.434
90,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",90,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,1,0.434
91,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",91,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,1,0.434
92,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",92,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,1,0.434
93,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",93,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,1,0.434
94,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",94,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,1,0.434
95,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",95,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,1,0.434
96,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",96,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,1,0.434
97,6,17,"mor",2,3,3,3,4,14,"yecapixtla",97,17,6,12,12,11,12,2,8,4,5,11,12,0,0,0,0,0,1,11,0.647
98,6,17,"mor",2,3,3,3,4,14,"yecapixtla",98,17,6,12,12,11,12,2,8,4,5,11,12,0,0,0,0,0,1,11,0.647
99,6,17,"mor",2,3,3,3,4,14,"yecapixtla",99,17,6,12,12,11,12,2,8,4,5,11,12,0,0,0,0,0,1,11,0.647
100,6,17,"mor",2,3,3,3,4,14,"yecapixtla",100,17,6,12,12,11,12,2,8,4,5,11,12,0,0,0,0,0,1,11,0.647
101,6,17,"mor",2,3,3,3,4,14,"yecapixtla",101,17,6,12,12,11,12,2,8,4,5,11,12,0,0,0,0,0,1,11,0.647
102,6,17,"mor",2,3,3,3,4,14,"yecapixtla",102,17,6,12,12,11,12,2,8,4,5,11,12,0,0,0,0,0,1,11,0.647
103,6,17,"mor",2,3,3,3,7,14,"cuautla",103,17,6,12,12,12,12,2,8,4,5,11,12,0,0,0,0,0,1,12,0.802
104,6,17,"mor",2,3,3,3,7,14,"cuautla",104,17,6,11,11,12,12,2,8,4,5,11,12,0,0,0,0,1,0,12,0.802
105,6,17,"mor",2,3,3,3,7,14,"cuautla",105,17,6,11,11,12,12,2,8,4,5,11,12,0,0,0,0,1,0,12,0.802
106,6,17,"mor",2,3,3,3,7,14,"cuautla",106,17,6,11,11,12,12,2,8,4,5,12,12,0,0,0,0,0,0,12,0.802
107,6,17,"mor",2,3,3,3,7,14,"cuautla",107,17,6,12,12,12,12,2,8,4,5,12,12,0,0,0,0,1,1,12,0.802
108,6,17,"mor",2,3,3,3,7,14,"cuautla",108,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
109,6,17,"mor",2,3,3,3,7,14,"cuautla",109,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
110,6,17,"mor",2,3,3,3,7,14,"cuautla",110,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
111,6,17,"mor",2,3,3,3,7,14,"cuautla",111,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
112,6,17,"mor",2,3,3,3,7,14,"cuautla",112,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
113,6,17,"mor",2,3,3,3,7,14,"cuautla",113,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
114,6,17,"mor",2,3,3,3,7,14,"cuautla",114,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
115,6,17,"mor",2,3,3,3,7,14,"cuautla",115,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
116,6,17,"mor",2,3,3,3,7,14,"cuautla",116,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
117,6,17,"mor",2,3,3,3,7,14,"cuautla",117,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
118,6,17,"mor",2,3,3,3,7,14,"cuautla",118,17,6,11,11,12,11,2,8,4,5,12,11,0,0,0,0,0,1,12,0.802
119,6,17,"mor",2,3,3,3,7,14,"cuautla",119,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
120,6,17,"mor",2,3,3,3,7,14,"cuautla",120,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
121,6,17,"mor",2,3,3,3,7,14,"cuautla",121,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
122,6,17,"mor",2,3,3,3,7,14,"cuautla",122,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
123,6,17,"mor",2,3,3,3,7,14,"cuautla",123,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
124,6,17,"mor",2,3,3,3,7,14,"cuautla",124,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
125,6,17,"mor",2,3,3,3,7,14,"cuautla",125,17,6,11,11,12,11,2,8,5,5,12,11,0,0,0,0,0,1,12,0.802
126,6,17,"mor",2,3,3,3,7,14,"cuautla",126,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
127,6,17,"mor",2,3,3,3,7,14,"cuautla",127,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
128,6,17,"mor",2,3,3,3,7,14,"cuautla",128,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
129,6,17,"mor",2,3,3,3,7,14,"cuautla",129,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
130,6,17,"mor",2,3,3,3,7,14,"cuautla",130,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
131,6,17,"mor",2,3,3,3,7,14,"cuautla",131,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
132,6,17,"mor",2,3,3,3,7,14,"cuautla",132,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
133,6,17,"mor",2,3,3,3,7,14,"cuautla",133,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
134,6,17,"mor",2,3,3,3,7,14,"cuautla",134,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
135,6,17,"mor",2,3,3,3,7,14,"cuautla",135,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
136,6,17,"mor",2,3,3,3,7,15,"cuautla",136,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,12,0.802
137,6,17,"mor",2,3,3,3,7,15,"cuautla",137,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,12,0.802
138,6,17,"mor",2,3,3,3,7,15,"cuautla",138,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,12,0.802
139,6,17,"mor",2,3,3,3,7,15,"cuautla",139,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
140,6,17,"mor",2,3,3,3,7,14,"cuautla",140,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
141,6,17,"mor",2,3,3,3,7,14,"cuautla",141,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
142,6,17,"mor",2,3,3,3,7,14,"cuautla",142,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
143,6,17,"mor",2,3,3,3,7,15,"cuautla",143,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
144,6,17,"mor",2,3,3,3,7,15,"cuautla",144,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
145,6,17,"mor",2,3,3,3,7,15,"cuautla",145,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
146,6,17,"mor",2,3,3,3,7,15,"cuautla",146,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
147,6,17,"mor",2,3,3,3,7,15,"cuautla",147,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
148,6,17,"mor",2,3,3,3,7,15,"cuautla",148,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,12,0.802
149,6,17,"mor",2,3,3,3,7,15,"cuautla",149,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,12,0.802
150,6,17,"mor",2,3,3,3,7,15,"cuautla",150,17,6,11,11,12,11,1,7,5,6,12,11,0,0,0,0,0,1,12,0.802
151,6,17,"mor",2,3,3,3,7,15,"cuautla",151,17,6,11,11,12,11,1,7,5,6,12,11,0,0,0,0,0,1,12,0.802
152,6,17,"mor",2,3,3,3,7,15,"cuautla",152,17,6,11,11,12,11,1,7,5,6,12,11,0,0,0,0,0,1,12,0.802
153,6,17,"mor",2,3,3,3,7,15,"cuautla",153,17,6,11,11,12,11,1,7,3,6,12,11,0,0,0,0,0,1,12,0.802
154,6,17,"mor",2,3,3,3,7,15,"cuautla",154,17,6,12,12,12,11,1,7,4,6,12,11,0,0,0,0,1,0,12,0.802
155,6,17,"mor",2,3,3,3,7,15,"cuautla",155,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,12,0.802
156,6,17,"mor",2,3,3,3,7,15,"cuautla",156,17,6,12,12,12,12,2,7,4,6,12,12,0,0,0,0,1,1,12,0.802
157,6,17,"mor",2,3,3,3,7,15,"cuautla",157,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
158,6,17,"mor",2,3,3,3,7,15,"cuautla",158,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
159,6,17,"mor",2,3,3,3,7,15,"cuautla",159,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
160,6,17,"mor",2,3,3,3,7,15,"cuautla",160,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
161,6,17,"mor",2,3,3,3,7,15,"cuautla",161,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
162,6,17,"mor",2,3,3,3,7,15,"cuautla",162,17,6,12,12,12,12,1,8,4,6,12,12,0,0,0,0,1,1,12,0.802
163,6,17,"mor",2,3,3,3,7,15,"cuautla",163,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
164,6,17,"mor",2,3,3,3,7,15,"cuautla",164,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
165,6,17,"mor",2,3,3,3,7,15,"cuautla",165,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
166,6,17,"mor",2,3,3,3,7,15,"cuautla",166,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
167,6,17,"mor",2,3,3,3,7,15,"cuautla",167,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
168,6,17,"mor",2,3,3,3,7,15,"cuautla",168,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,12,0.802
169,6,17,"mor",2,3,3,3,7,15,"cuautla",169,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,12,0.802
170,6,17,"mor",2,3,3,3,7,15,"cuautla",170,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,12,0.802
171,6,17,"mor",2,3,3,3,7,15,"cuautla",171,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,12,0.802
172,6,17,"mor",2,3,3,3,7,15,"cuautla",172,17,6,12,12,12,12,1,7,3,6,12,12,0,0,0,0,1,1,12,0.802
173,6,17,"mor",2,3,3,3,7,15,"cuautla",173,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,12,0.802
174,6,17,"mor",2,3,3,3,7,15,"cuautla",174,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,12,0.802
175,6,17,"mor",2,3,3,3,7,15,"cuautla",175,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,12,0.802
176,6,17,"mor",2,3,3,3,7,15,"cuautla",176,17,6,12,12,12,11,1,7,4,6,12,11,0,0,0,0,1,0,12,0.802
177,6,17,"mor",2,3,3,3,7,15,"cuautla",177,17,6,11,11,12,11,1,7,3,6,12,11,0,0,0,0,0,1,12,0.802
178,6,17,"mor",2,3,3,3,7,15,"cuautla",178,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,12,0.802
179,6,17,"mor",2,3,3,3,7,15,"cuautla",179,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,12,0.802
180,6,17,"mor",2,3,3,3,7,15,"cuautla",180,17,6,12,12,12,12,1,7,3,6,12,12,0,0,0,0,1,1,12,0.802
181,6,17,"mor",2,3,3,3,4,14,"yecapixtla",181,17,6,12,12,11,12,2,8,4,5,11,12,0,0,0,0,0,1,11,0.647
