"seccion","X.x","munn.x","edon.x","disloc2015","disloc2017","disfed2017","X.y","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","panal_clv1","pan_clv1","prd_clv1","pt_clv1","pvem_clv1","pan_clv2","esc1_mcCLV1","esc1_panalCLV1","esc1_panCLV1","esc1_prdCLV1","esc1_pvemCLV1","esc2_panCLV2","SQ","dsiSQ_E1"
211,208,41,31,6,2,2,208,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21
212,209,41,31,6,2,2,209,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21
213,210,41,31,6,2,2,210,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21
214,211,41,31,6,2,2,211,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21
215,212,41,31,6,2,2,212,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21
216,213,41,31,6,2,2,213,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21
217,214,41,31,6,2,2,214,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21
218,215,41,31,6,2,2,215,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21
219,216,41,31,6,2,2,216,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21
220,217,41,31,6,2,2,217,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21
221,218,41,31,6,2,2,218,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21
222,219,41,31,6,2,2,219,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21
223,220,41,31,6,2,2,220,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21
224,221,42,31,15,7,3,221,31,42,6,6,7,8,5,6,4,6,7,7,0,0,1,0,0,0,15,0.268
225,222,42,31,15,7,3,222,31,42,6,6,7,8,5,6,4,6,7,7,0,0,1,0,0,0,15,0.268
226,223,42,31,15,7,3,223,31,42,6,6,7,8,5,6,4,6,7,7,0,0,1,0,0,0,15,0.268
227,224,43,31,15,7,3,224,31,43,9,3,7,2,5,3,6,9,3,7,0,0,0,0,0,0,15,0.342
228,225,44,31,8,1,2,225,31,44,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,13,0.392
229,226,44,31,8,1,2,226,31,44,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,13,0.392
230,227,44,31,8,1,2,227,31,44,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,13,0.392
