"seccion","munn","edo","edon","disloc2018","disloc2015","pobtot","esc1","esc3","SQ","dsi_pob"
1096,27,"gue",12,18,18,185,5,21,17,0.365652027157884
1097,27,"gue",12,18,18,216,5,21,17,0.365652027157884
1098,27,"gue",12,18,18,781,5,21,17,0.365652027157884
1099,27,"gue",12,18,18,437,5,21,17,0.365652027157884
1100,27,"gue",12,18,18,510,5,21,17,0.365652027157884
1101,27,"gue",12,18,18,455,5,21,17,0.365652027157884
1102,27,"gue",12,18,18,308,5,21,17,0.365652027157884
1103,27,"gue",12,18,18,289,5,21,17,0.365652027157884
1104,27,"gue",12,18,18,1095,5,21,17,0.365652027157884
1105,27,"gue",12,18,18,219,5,21,17,0.365652027157884
1106,27,"gue",12,18,18,349,5,21,17,0.365652027157884
1107,27,"gue",12,18,18,257,5,21,17,0.365652027157884
1108,27,"gue",12,18,18,282,5,21,17,0.365652027157884
1109,27,"gue",12,18,18,705,5,21,17,0.365652027157884
1110,27,"gue",12,18,18,305,5,21,17,0.365652027157884
1111,27,"gue",12,18,18,860,5,21,17,0.365652027157884
1112,28,"gue",12,25,25,7040,27,12,25,0.884326694682989
1113,28,"gue",12,25,25,6029,27,12,25,0.884326694682989
1114,28,"gue",12,25,25,3208,27,12,25,0.884326694682989
1115,28,"gue",12,25,25,2102,27,12,25,0.884326694682989
1116,28,"gue",12,25,25,2017,27,12,25,0.884326694682989
1117,28,"gue",12,25,25,1640,27,12,25,0.884326694682989
1118,28,"gue",12,25,25,1318,27,12,25,0.884326694682989
1119,28,"gue",12,25,25,2894,27,12,25,0.884326694682989
1120,28,"gue",12,25,25,2018,27,12,25,0.884326694682989
1121,28,"gue",12,25,25,2373,27,12,25,0.884326694682989
1122,28,"gue",12,25,25,2505,27,12,25,0.884326694682989
1123,28,"gue",12,25,25,1878,27,12,25,0.884326694682989
1124,28,"gue",12,25,25,1648,27,12,25,0.884326694682989
1125,28,"gue",12,25,25,1209,27,12,25,0.884326694682989
1126,28,"gue",12,25,25,2044,27,12,25,0.884326694682989
1127,28,"gue",12,25,25,1808,27,12,25,0.884326694682989
1128,28,"gue",12,25,25,1564,27,12,25,0.884326694682989
1129,28,"gue",12,25,25,1582,27,12,25,0.884326694682989
1130,28,"gue",12,25,25,695,27,12,25,0.884326694682989
1131,28,"gue",12,25,25,960,27,12,25,0.884326694682989
1132,28,"gue",12,25,25,2288,27,12,25,0.884326694682989
1133,28,"gue",12,25,25,1254,27,12,25,0.884326694682989
1134,28,"gue",12,25,25,716,27,12,25,0.884326694682989
1135,28,"gue",12,25,25,1585,27,12,25,0.884326694682989
1136,28,"gue",12,25,25,1025,27,12,25,0.884326694682989
1137,28,"gue",12,25,25,384,27,12,25,0.884326694682989
1138,28,"gue",12,25,25,666,27,12,25,0.884326694682989
1139,28,"gue",12,25,25,1301,27,12,25,0.884326694682989
1140,28,"gue",12,25,25,807,27,12,25,0.884326694682989
1141,28,"gue",12,25,25,458,27,12,25,0.884326694682989
1142,28,"gue",12,25,25,812,27,12,25,0.884326694682989
1143,28,"gue",12,25,25,628,27,12,25,0.884326694682989
1144,28,"gue",12,25,25,952,27,12,25,0.884326694682989
1145,28,"gue",12,25,25,777,27,12,25,0.884326694682989
1146,28,"gue",12,25,25,294,27,12,25,0.884326694682989
1147,28,"gue",12,25,25,277,27,12,25,0.884326694682989
1148,28,"gue",12,25,25,736,27,12,25,0.884326694682989
1149,28,"gue",12,25,25,972,27,12,25,0.884326694682989
1150,28,"gue",12,25,25,1070,27,12,25,0.884326694682989
1151,28,"gue",12,25,25,1597,27,12,25,0.884326694682989
1152,28,"gue",12,25,25,1404,27,12,25,0.884326694682989
1153,28,"gue",12,25,25,303,27,12,25,0.884326694682989
1154,28,"gue",12,25,25,2057,27,12,25,0.884326694682989
1155,28,"gue",12,25,25,1142,27,12,25,0.884326694682989
1156,28,"gue",12,25,25,682,27,12,25,0.884326694682989
1157,28,"gue",12,25,25,2282,27,12,25,0.884326694682989
1158,28,"gue",12,25,25,842,27,12,25,0.884326694682989
1159,28,"gue",12,25,25,1416,27,12,25,0.884326694682989
1160,28,"gue",12,25,25,959,27,12,25,0.884326694682989
1161,28,"gue",12,25,25,1086,27,12,25,0.884326694682989
1162,28,"gue",12,25,25,1174,27,12,25,0.884326694682989
1163,28,"gue",12,25,25,875,27,12,25,0.884326694682989
1164,28,"gue",12,25,25,2548,27,12,25,0.884326694682989
1165,28,"gue",12,25,25,696,27,12,25,0.884326694682989
1166,28,"gue",12,25,25,1122,27,12,25,0.884326694682989
1167,28,"gue",12,25,25,2066,27,12,25,0.884326694682989
1168,28,"gue",12,25,25,853,27,12,25,0.884326694682989
1169,28,"gue",12,25,25,581,27,12,25,0.884326694682989
1170,28,"gue",12,25,25,1239,27,12,25,0.884326694682989
1171,28,"gue",12,25,25,592,27,12,25,0.884326694682989
1172,28,"gue",12,25,25,846,27,12,25,0.884326694682989
1173,28,"gue",12,25,25,1510,27,12,25,0.884326694682989
1174,28,"gue",12,25,25,405,27,12,25,0.884326694682989
1175,28,"gue",12,25,25,2906,27,12,25,0.884326694682989
1176,28,"gue",12,25,25,592,27,12,25,0.884326694682989
1177,28,"gue",12,25,25,2481,27,12,25,0.884326694682989
1178,28,"gue",12,25,25,2116,27,12,25,0.884326694682989
1179,28,"gue",12,25,25,1100,27,12,25,0.884326694682989
1180,28,"gue",12,25,25,256,27,12,25,0.884326694682989
1181,28,"gue",12,25,25,2689,27,12,25,0.884326694682989
1182,28,"gue",12,25,25,679,27,12,25,0.884326694682989
1183,28,"gue",12,25,25,1044,27,12,25,0.884326694682989
1184,28,"gue",12,25,25,1426,27,12,25,0.884326694682989
1185,77,"gue",12,25,26,1746,27,12,25,0.884326694682989
1186,28,"gue",12,25,25,589,27,12,25,0.884326694682989
1187,28,"gue",12,25,25,1130,27,12,25,0.884326694682989
1188,28,"gue",12,25,25,589,27,12,25,0.884326694682989
1189,28,"gue",12,25,25,1187,27,12,25,0.884326694682989
1190,77,"gue",12,25,26,1850,27,12,25,0.884326694682989
1191,77,"gue",12,25,26,997,27,12,25,0.884326694682989
1192,77,"gue",12,25,26,602,27,12,25,0.884326694682989
1193,28,"gue",12,25,25,355,27,12,25,0.884326694682989
1194,28,"gue",12,25,25,1393,27,12,25,0.884326694682989
