"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2011","X","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","mc_iee1","morena_clv1","morena_iee1","prd_clv1","prd_iee1","pri_clv1","pt_clv1","mc_clv2","morena_clv2","panal_clv2","pan_clv2","pes_clv2","ph_iee2","prd_clv2","pri_clv2","prs_iee2","pt_clv2","pvem_clv2","esc1_mcCLV1","esc1_mcIEE1","esc1_morCLV1","esc1_morIEE1","esc1_prdCLV1","esc1_prdIEE1","esc1_priCLV1","esc1_ptCLV1","esc2_mcCLV2","esc2_morCLV2","esc2_panalCLV2","esc2_panCLV2","esc2_pesCLV2","esc2_phIEE2","esc2_prdCLV2","esc2_priCLV2","esc2_prsIEE2","esc2_ptCLV2","esc2_pvemCLV2","SQ","dsiSQ_E1","dsiSQ_E3"
231,3,3,"bcs",1,2,1,1,13,4,227,3,3,13,13,13,12,12,12,12,12,12,2,12,13,13,13,12,12,12,12,13,12,13,13,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,3,0.326,0.326
232,3,3,"bcs",1,2,1,1,16,4,228,3,3,16,16,16,12,12,12,12,12,12,2,12,13,13,13,12,12,12,12,13,12,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.295,0.295
233,3,3,"bcs",1,2,1,1,16,4,229,3,3,16,16,16,12,12,12,12,12,12,2,12,13,13,13,12,12,12,12,13,12,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.295,0.295
234,3,3,"bcs",1,2,1,1,16,4,230,3,3,16,16,16,12,12,12,12,12,12,11,12,13,13,13,12,12,12,12,13,12,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.295,0.295
235,3,3,"bcs",1,2,1,1,16,4,231,3,3,16,16,16,11,11,11,11,11,11,11,11,15,15,15,13,13,13,13,15,13,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.295,0.295
236,3,3,"bcs",1,2,1,1,16,4,232,3,3,16,16,16,12,12,12,12,12,12,11,12,15,15,15,13,13,13,13,15,13,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.295,0.295
237,3,3,"bcs",1,2,1,1,16,4,233,3,3,16,16,16,12,12,12,12,12,12,11,12,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.295,0.295
238,3,3,"bcs",1,2,1,1,16,4,234,3,3,16,16,16,12,12,12,12,12,12,11,12,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.295,0.295
239,3,3,"bcs",1,2,1,1,16,4,235,3,3,16,16,16,12,12,12,12,12,12,11,12,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.295,0.295
240,3,3,"bcs",1,2,1,1,16,4,236,3,3,16,16,16,11,11,11,11,11,11,11,11,15,15,15,13,13,13,13,15,13,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.295,0.295
241,3,3,"bcs",1,2,1,1,16,4,237,3,3,16,16,16,11,11,11,11,11,11,11,11,15,15,15,13,13,13,13,15,13,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.295,0.295
242,3,3,"bcs",1,2,1,1,16,4,238,3,3,16,16,16,12,12,12,12,12,12,7,12,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.295,0.295
243,3,3,"bcs",1,2,1,1,16,4,239,3,3,16,16,16,12,12,12,12,12,12,7,12,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.295,0.295
244,3,3,"bcs",1,2,1,1,16,4,240,3,3,16,16,16,12,12,12,12,12,12,7,12,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.295,0.295
245,3,3,"bcs",1,2,1,1,16,4,241,3,3,16,16,16,12,12,12,12,12,12,7,12,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.295,0.295
