"seccion","munn","edo","edon","disloc2018","disloc2015","pobtot","esc1","esc3","SQ","dsi_pob"
219,8,"col",6,13,13,1375,7,4,13,0.233621315858616
220,8,"col",6,13,13,695,7,4,13,0.233621315858616
221,8,"col",6,13,13,1390,7,4,13,0.233621315858616
222,8,"col",6,14,14,572,7,2,13,0.233621315858616
223,8,"col",6,14,14,1083,7,2,13,0.233621315858616
224,8,"col",6,14,14,417,7,2,13,0.233621315858616
225,8,"col",6,14,14,1134,7,2,13,0.233621315858616
226,8,"col",6,14,14,1033,7,2,13,0.233621315858616
227,8,"col",6,14,14,850,7,2,13,0.233621315858616
228,8,"col",6,14,11,2221,7,2,13,0.233621315858616
229,8,"col",6,14,11,255,7,2,13,0.233621315858616
230,8,"col",6,14,11,2885,7,2,13,0.233621315858616
231,8,"col",6,14,14,427,7,2,13,0.233621315858616
232,8,"col",6,14,14,1226,7,2,13,0.233621315858616
233,8,"col",6,14,14,2280,7,2,13,0.233621315858616
234,8,"col",6,14,11,2523,6,2,11,0.348791293460464
235,8,"col",6,11,11,776,6,5,11,0.348791293460464
236,8,"col",6,11,11,8664,6,5,11,0.348791293460464
237,8,"col",6,11,11,3497,6,5,11,0.348791293460464
238,8,"col",6,11,14,17977,6,5,11,0.348791293460464
239,8,"col",6,11,11,1092,6,5,11,0.348791293460464
240,8,"col",6,11,11,1642,6,5,11,0.348791293460464
241,8,"col",6,11,14,770,6,5,11,0.348791293460464
242,8,"col",6,14,11,611,6,2,11,0.348791293460464
243,8,"col",6,11,11,2924,6,5,11,0.348791293460464
244,8,"col",6,12,14,6988,9,3,11,0.242412193505633
245,8,"col",6,11,14,2265,9,5,11,0.242412193505633
246,8,"col",6,12,11,3399,9,3,11,0.242412193505633
247,8,"col",6,12,11,192,9,3,11,0.242412193505633
248,8,"col",6,12,11,12870,9,3,11,0.242412193505633
249,8,"col",6,12,12,721,8,3,13,0.444468696569537
250,8,"col",6,12,12,15101,9,3,11,0.242412193505633
251,8,"col",6,14,12,4261,8,2,13,0.444468696569537
252,8,"col",6,14,12,1765,8,2,13,0.444468696569537
253,8,"col",6,14,12,1702,8,2,13,0.444468696569537
254,8,"col",6,14,12,688,8,2,13,0.444468696569537
255,8,"col",6,14,12,354,8,2,13,0.444468696569537
256,8,"col",6,14,12,1303,8,2,13,0.444468696569537
257,8,"col",6,14,12,778,8,2,13,0.444468696569537
258,8,"col",6,13,12,3854,8,4,13,0.444468696569537
259,8,"col",6,13,13,2161,7,4,13,0.233621315858616
260,8,"col",6,14,13,3201,7,2,13,0.233621315858616
261,8,"col",6,9,12,1988,7,1,13,0.233621315858616
262,8,"col",6,13,12,1644,7,4,13,0.233621315858616
263,8,"col",6,9,12,1301,7,1,13,0.233621315858616
264,8,"col",6,9,12,2170,7,1,13,0.233621315858616
265,8,"col",6,9,12,647,7,1,13,0.233621315858616
266,8,"col",6,9,12,774,7,1,13,0.233621315858616
267,8,"col",6,9,12,2244,7,1,13,0.233621315858616
268,8,"col",6,13,13,1178,7,4,13,0.233621315858616
269,8,"col",6,13,13,1983,7,4,13,0.233621315858616
270,9,"col",6,14,14,1561,1,2,4,0.350421760493703
271,9,"col",6,14,14,1945,1,2,4,0.350421760493703
272,9,"col",6,14,14,1238,1,2,4,0.350421760493703
273,9,"col",6,14,14,812,1,2,4,0.350421760493703
274,9,"col",6,14,14,391,1,2,4,0.350421760493703
275,9,"col",6,14,14,1299,1,2,4,0.350421760493703
276,9,"col",6,14,14,922,1,2,4,0.350421760493703
277,10,"col",6,10,10,4006,10,6,10,0.310306514761384
278,10,"col",6,10,10,2376,10,6,10,0.310306514761384
279,10,"col",6,10,10,1034,10,6,10,0.310306514761384
280,10,"col",6,10,15,10229,10,6,10,0.310306514761384
281,10,"col",6,10,10,1312,10,6,10,0.310306514761384
282,10,"col",6,10,10,2465,10,6,10,0.310306514761384
283,10,"col",6,10,10,4087,10,6,10,0.310306514761384
284,10,"col",6,10,15,987,10,6,10,0.310306514761384
285,10,"col",6,10,10,997,10,6,10,0.310306514761384
286,10,"col",6,16,10,1230,12,7,16,0.260863023088626
287,10,"col",6,10,10,682,10,6,10,0.310306514761384
288,10,"col",6,10,10,636,10,6,10,0.310306514761384
289,10,"col",6,16,10,1317,12,7,16,0.260863023088626
290,10,"col",6,16,10,5178,12,7,16,0.260863023088626
291,10,"col",6,10,15,5070,10,6,10,0.310306514761384
292,10,"col",6,10,15,1423,10,6,10,0.310306514761384
293,10,"col",6,10,15,1029,10,6,10,0.310306514761384
294,10,"col",6,10,15,615,10,6,10,0.310306514761384
295,10,"col",6,16,16,917,12,7,16,0.260863023088626
296,10,"col",6,16,16,1028,12,7,16,0.260863023088626
297,10,"col",6,16,10,2268,12,7,16,0.260863023088626
298,10,"col",6,15,9,1725,11,8,15,0.222529007658679
299,10,"col",6,10,15,1412,10,6,10,0.310306514761384
300,10,"col",6,10,15,767,10,6,10,0.310306514761384
