"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","disloc2013","cab","X","edon.y","munn.y","escenario1","escenario2","escenario3","pan_clv1","pan_clv2","esc1_panCLV1","esc2_panCLV2","E1","dsiE1_E3"
93,7,32,"zac",4,1,3,3,12,18,"villa de cos",91,32,7,18,18,15,14,15,0,0,18,0.429
94,7,32,"zac",4,1,3,3,12,18,"villa de cos",92,32,7,18,18,15,14,15,0,0,18,0.429
95,7,32,"zac",4,1,3,3,12,18,"villa de cos",93,32,7,18,18,15,14,15,0,0,18,0.429
96,7,32,"zac",4,1,3,3,12,18,"villa de cos",94,32,7,18,18,15,14,15,0,0,18,0.429
97,7,32,"zac",4,1,3,3,12,18,"villa de cos",95,32,7,18,18,15,14,15,0,0,18,0.429
98,7,32,"zac",4,1,3,3,12,18,"villa de cos",96,32,7,18,18,15,14,15,0,0,18,0.429
99,7,32,"zac",4,1,3,3,12,18,"villa de cos",97,32,7,18,18,15,14,15,0,0,18,0.429
101,7,32,"zac",4,1,3,3,12,18,"villa de cos",98,32,7,18,18,15,14,15,0,0,18,0.429
102,7,32,"zac",4,1,3,3,12,18,"villa de cos",99,32,7,18,18,15,14,15,0,0,18,0.429
103,8,32,"zac",5,3,2,2,11,6,"villanueva",100,32,8,2,2,6,4,6,0,0,2,0.567
104,8,32,"zac",5,3,2,2,11,6,"villanueva",101,32,8,2,2,6,4,6,0,0,2,0.567
105,8,32,"zac",5,3,2,2,11,6,"villanueva",102,32,8,2,2,6,4,6,0,0,2,0.567
106,8,32,"zac",5,3,2,2,11,6,"villanueva",103,32,8,2,2,6,4,6,0,0,2,0.567
107,8,32,"zac",5,3,2,2,11,6,"villanueva",104,32,8,2,2,6,4,6,0,0,2,0.567
108,8,32,"zac",5,3,2,2,11,6,"villanueva",105,32,8,2,2,6,4,6,0,0,2,0.567
109,8,32,"zac",5,3,2,2,11,6,"villanueva",106,32,8,2,2,6,4,6,0,0,2,0.567
110,8,32,"zac",5,3,2,2,11,6,"villanueva",107,32,8,2,2,6,4,6,0,0,2,0.567
111,8,32,"zac",5,3,2,2,11,6,"villanueva",108,32,8,2,2,6,4,6,0,0,2,0.567
112,8,32,"zac",5,3,2,2,11,6,"villanueva",109,32,8,2,2,6,4,6,0,0,2,0.567
113,8,32,"zac",5,3,2,2,11,6,"villanueva",110,32,8,2,2,6,4,6,0,0,2,0.567
114,9,32,"zac",2,2,1,1,17,16,"chalchihuites",111,32,9,14,14,18,15,18,0,0,17,0.646
115,9,32,"zac",2,2,1,1,17,16,"chalchihuites",112,32,9,14,14,18,15,18,0,0,17,0.646
116,9,32,"zac",2,2,1,1,17,16,"chalchihuites",113,32,9,14,14,18,15,18,0,0,17,0.646
117,9,32,"zac",2,2,1,1,17,16,"chalchihuites",114,32,9,14,14,18,15,18,0,0,17,0.646
118,9,32,"zac",2,2,1,1,17,16,"chalchihuites",115,32,9,14,14,18,15,18,0,0,17,0.646
119,9,32,"zac",2,2,1,1,17,16,"chalchihuites",116,32,9,14,14,18,15,18,0,0,17,0.646
120,9,32,"zac",2,2,1,1,17,16,"chalchihuites",117,32,9,14,14,18,15,18,0,0,17,0.646
121,9,32,"zac",2,2,1,1,17,16,"chalchihuites",118,32,9,14,14,18,15,18,0,0,17,0.646
122,9,32,"zac",2,2,1,1,17,16,"chalchihuites",119,32,9,14,14,18,15,18,0,0,17,0.646
123,9,32,"zac",2,2,1,1,17,16,"chalchihuites",120,32,9,14,14,18,15,18,0,0,17,0.646
124,9,32,"zac",2,2,1,1,17,16,"chalchihuites",121,32,9,14,14,18,15,18,0,0,17,0.646
125,9,32,"zac",2,2,1,1,17,16,"chalchihuites",122,32,9,14,14,18,15,18,0,0,17,0.646
126,9,32,"zac",2,2,1,1,17,16,"chalchihuites",123,32,9,14,14,18,15,18,0,0,17,0.646
127,9,32,"zac",2,2,1,1,17,16,"chalchihuites",124,32,9,14,14,18,15,18,0,0,17,0.646
128,9,32,"zac",2,2,1,1,17,16,"chalchihuites",125,32,9,14,14,18,15,18,0,0,17,0.646
129,9,32,"zac",2,2,1,1,17,16,"chalchihuites",126,32,9,14,14,18,15,18,0,0,17,0.646
130,9,32,"zac",2,2,1,1,17,16,"chalchihuites",127,32,9,14,14,18,15,18,0,0,17,0.646
131,9,32,"zac",2,2,1,1,17,16,"chalchihuites",128,32,9,14,14,18,15,18,0,0,17,0.646
132,9,32,"zac",2,2,1,1,17,16,"chalchihuites",129,32,9,14,14,18,15,18,0,0,17,0.646
133,9,32,"zac",2,2,1,1,17,16,"chalchihuites",130,32,9,14,14,18,15,18,0,0,17,0.646
134,9,32,"zac",2,2,1,1,17,16,"chalchihuites",131,32,9,14,14,18,15,18,0,0,17,0.646
135,10,32,"zac",2,1,1,1,7,11,"fresnillo",132,32,10,8,8,12,11,12,0,0,14,0.315
136,10,32,"zac",2,1,1,1,7,11,"fresnillo",133,32,10,8,8,12,11,12,0,0,14,0.315
137,10,32,"zac",2,1,1,1,5,11,"fresnillo",134,32,10,8,8,10,11,10,0,0,8,0.297
138,10,32,"zac",2,1,1,1,5,8,"fresnillo",135,32,10,8,8,10,11,10,0,0,8,0.297
139,10,32,"zac",2,1,1,1,5,8,"fresnillo",136,32,10,8,8,10,11,10,0,0,8,0.297
140,10,32,"zac",2,1,1,1,5,8,"fresnillo",137,32,10,9,9,10,12,10,0,0,8,0.297
141,10,32,"zac",2,1,1,1,5,8,"fresnillo",138,32,10,9,9,10,11,10,0,0,8,0.297
142,10,32,"zac",2,1,1,1,5,8,"fresnillo",139,32,10,9,9,10,11,10,0,0,8,0.297
143,10,32,"zac",2,1,1,1,5,8,"fresnillo",140,32,10,8,8,10,11,10,0,0,8,0.297
144,10,32,"zac",2,1,1,1,5,8,"fresnillo",141,32,10,8,8,10,11,10,0,0,8,0.297
145,10,32,"zac",2,1,1,1,5,8,"fresnillo",142,32,10,8,8,10,11,10,0,0,8,0.297
146,10,32,"zac",2,1,1,1,5,11,"fresnillo",143,32,10,8,8,10,11,10,0,0,8,0.297
147,10,32,"zac",2,1,1,1,5,11,"fresnillo",144,32,10,8,8,10,11,10,0,0,8,0.297
148,10,32,"zac",2,1,1,1,7,11,"fresnillo",145,32,10,7,7,12,11,12,0,0,14,0.315
149,10,32,"zac",2,1,1,1,6,11,"fresnillo",146,32,10,7,7,11,11,11,0,0,9,0.546
150,10,32,"zac",2,1,1,1,6,11,"fresnillo",147,32,10,8,8,11,11,11,0,0,9,0.546
151,10,32,"zac",2,1,1,1,6,11,"fresnillo",148,32,10,8,8,11,11,11,0,0,9,0.546
152,10,32,"zac",2,1,1,1,6,8,"fresnillo",149,32,10,8,8,11,11,11,0,0,9,0.546
153,10,32,"zac",2,1,1,1,5,8,"fresnillo",150,32,10,8,8,10,11,10,0,0,8,0.297
154,10,32,"zac",2,1,1,1,5,8,"fresnillo",151,32,10,9,9,10,12,10,0,0,8,0.297
155,10,32,"zac",2,1,1,1,5,8,"fresnillo",152,32,10,9,9,10,12,10,0,0,8,0.297
156,10,32,"zac",2,1,1,1,6,8,"fresnillo",153,32,10,9,9,11,12,11,0,0,9,0.546
157,10,32,"zac",2,1,1,1,5,8,"fresnillo",154,32,10,9,9,10,12,10,0,0,8,0.297
158,10,32,"zac",2,1,1,1,6,8,"fresnillo",155,32,10,9,9,11,12,11,0,0,9,0.546
159,10,32,"zac",2,1,1,1,6,11,"fresnillo",156,32,10,8,8,11,11,11,0,0,9,0.546
160,10,32,"zac",2,1,1,1,6,11,"fresnillo",157,32,10,8,8,11,11,11,0,0,9,0.546
161,10,32,"zac",2,1,1,1,6,11,"fresnillo",158,32,10,8,8,11,11,11,0,0,9,0.546
162,10,32,"zac",2,1,1,1,6,11,"fresnillo",159,32,10,7,7,11,11,11,0,0,9,0.546
163,10,32,"zac",2,1,1,1,7,11,"fresnillo",160,32,10,7,7,12,11,12,0,0,14,0.315
164,10,32,"zac",2,1,1,1,6,11,"fresnillo",161,32,10,7,7,11,11,11,0,0,9,0.546
165,10,32,"zac",2,1,1,1,6,11,"fresnillo",162,32,10,9,9,11,11,11,0,0,9,0.546
166,10,32,"zac",2,1,1,1,6,11,"fresnillo",163,32,10,9,9,11,12,11,0,0,9,0.546
167,10,32,"zac",2,1,1,1,6,8,"fresnillo",164,32,10,9,9,11,12,11,0,0,9,0.546
168,10,32,"zac",2,1,1,1,6,8,"fresnillo",165,32,10,9,9,11,12,11,0,0,9,0.546
169,10,32,"zac",2,1,1,1,6,8,"fresnillo",166,32,10,9,9,11,12,11,0,0,9,0.546
170,10,32,"zac",2,1,1,1,6,8,"fresnillo",167,32,10,9,9,11,12,11,0,0,9,0.546
171,10,32,"zac",2,1,1,1,6,8,"fresnillo",168,32,10,9,9,11,12,11,0,0,9,0.546
172,10,32,"zac",2,1,1,1,6,8,"fresnillo",169,32,10,9,9,11,12,11,0,0,9,0.546
173,10,32,"zac",2,1,1,1,6,8,"fresnillo",170,32,10,9,9,11,12,11,0,0,9,0.546
174,10,32,"zac",2,1,1,1,6,8,"fresnillo",171,32,10,9,9,11,12,11,0,0,9,0.546
175,10,32,"zac",2,1,1,1,6,8,"fresnillo",172,32,10,9,9,11,12,11,0,0,9,0.546
176,10,32,"zac",2,1,1,1,6,8,"fresnillo",173,32,10,9,9,11,12,11,0,0,9,0.546
177,10,32,"zac",2,1,1,1,6,11,"fresnillo",174,32,10,9,9,11,12,11,0,0,9,0.546
178,10,32,"zac",2,1,1,1,6,11,"fresnillo",175,32,10,9,9,11,12,11,0,0,9,0.546
179,10,32,"zac",2,1,1,1,6,11,"fresnillo",176,32,10,9,9,11,12,11,0,0,9,0.546
180,10,32,"zac",2,1,1,1,6,11,"fresnillo",177,32,10,7,7,11,13,11,0,0,9,0.546
181,10,32,"zac",2,1,1,1,6,11,"fresnillo",178,32,10,7,7,11,11,11,0,0,9,0.546
182,10,32,"zac",2,1,1,1,6,11,"fresnillo",179,32,10,9,9,11,12,11,0,0,9,0.546
183,10,32,"zac",2,1,1,1,6,11,"fresnillo",180,32,10,9,9,11,12,11,0,0,9,0.546
184,10,32,"zac",2,1,1,1,6,8,"fresnillo",181,32,10,9,9,11,12,11,0,0,9,0.546
185,10,32,"zac",2,1,1,1,6,8,"fresnillo",182,32,10,9,9,11,12,11,0,0,9,0.546
186,10,32,"zac",2,1,1,1,6,8,"fresnillo",183,32,10,9,9,11,12,11,0,0,9,0.546
187,10,32,"zac",2,1,1,1,6,8,"fresnillo",184,32,10,9,9,11,12,11,0,0,9,0.546
188,10,32,"zac",2,1,1,1,6,8,"fresnillo",185,32,10,9,9,11,12,11,0,0,9,0.546
189,10,32,"zac",2,1,1,1,6,8,"fresnillo",186,32,10,9,9,11,12,11,0,0,9,0.546
190,10,32,"zac",2,1,1,1,6,8,"fresnillo",187,32,10,9,9,11,12,11,0,0,9,0.546
191,10,32,"zac",2,1,1,1,6,8,"fresnillo",188,32,10,9,9,11,12,11,0,0,9,0.546
192,10,32,"zac",2,1,1,1,6,8,"fresnillo",189,32,10,9,9,11,12,11,0,0,9,0.546
193,10,32,"zac",2,1,1,1,6,8,"fresnillo",190,32,10,9,9,11,12,11,0,0,9,0.546
194,10,32,"zac",2,1,1,1,6,8,"fresnillo",191,32,10,9,9,11,12,11,0,0,9,0.546
195,10,32,"zac",2,1,1,1,6,8,"fresnillo",192,32,10,9,9,11,12,11,0,0,9,0.546
196,10,32,"zac",2,1,1,1,6,8,"fresnillo",193,32,10,9,9,11,12,11,0,0,9,0.546
197,10,32,"zac",2,1,1,1,6,8,"fresnillo",194,32,10,9,9,11,12,11,0,0,9,0.546
198,10,32,"zac",2,1,1,1,6,8,"fresnillo",195,32,10,9,9,11,12,11,0,0,9,0.546
199,10,32,"zac",2,1,1,1,6,8,"fresnillo",196,32,10,9,9,11,12,11,0,0,9,0.546
200,10,32,"zac",2,1,1,1,6,8,"fresnillo",197,32,10,9,9,11,12,11,0,0,9,0.546
201,10,32,"zac",2,1,1,1,6,8,"fresnillo",198,32,10,9,9,11,12,11,0,0,9,0.546
202,10,32,"zac",2,1,1,1,6,8,"fresnillo",199,32,10,9,9,11,12,11,0,0,9,0.546
203,10,32,"zac",2,1,1,1,6,11,"fresnillo",200,32,10,9,9,11,12,11,0,0,9,0.546
204,10,32,"zac",2,1,1,1,6,11,"fresnillo",201,32,10,9,9,11,12,11,0,0,9,0.546
205,10,32,"zac",2,1,1,1,6,11,"fresnillo",202,32,10,9,9,11,12,11,0,0,9,0.546
206,10,32,"zac",2,1,1,1,6,11,"fresnillo",203,32,10,9,9,11,12,11,0,0,9,0.546
207,10,32,"zac",2,1,1,1,6,11,"fresnillo",204,32,10,9,9,11,12,11,0,0,9,0.546
208,10,32,"zac",2,1,1,1,6,11,"fresnillo",205,32,10,9,9,11,12,11,0,0,9,0.546
209,10,32,"zac",2,1,1,1,6,11,"fresnillo",206,32,10,7,7,11,13,11,0,0,9,0.546
210,10,32,"zac",2,1,1,1,6,11,"fresnillo",207,32,10,7,7,11,13,11,0,0,9,0.546
211,10,32,"zac",2,1,1,1,6,11,"fresnillo",208,32,10,7,7,11,13,11,0,0,9,0.546
212,10,32,"zac",2,1,1,1,7,11,"fresnillo",209,32,10,7,7,12,11,12,0,0,14,0.315
213,10,32,"zac",2,1,1,1,6,11,"fresnillo",210,32,10,7,7,11,13,11,0,0,9,0.546
214,10,32,"zac",2,1,1,1,6,11,"fresnillo",211,32,10,9,9,11,13,11,0,0,9,0.546
215,10,32,"zac",2,1,1,1,6,11,"fresnillo",212,32,10,9,9,11,12,11,0,0,9,0.546
216,10,32,"zac",2,1,1,1,6,11,"fresnillo",213,32,10,9,9,11,12,11,0,0,9,0.546
217,10,32,"zac",2,1,1,1,6,8,"fresnillo",214,32,10,9,9,11,12,11,0,0,9,0.546
218,10,32,"zac",2,1,1,1,5,11,"fresnillo",215,32,10,8,8,10,11,10,0,0,8,0.297
219,10,32,"zac",2,1,1,1,5,11,"fresnillo",216,32,10,8,8,10,11,10,0,0,8,0.297
220,10,32,"zac",2,1,1,1,5,11,"fresnillo",217,32,10,8,8,10,11,10,0,0,8,0.297
221,10,32,"zac",2,1,1,1,5,11,"fresnillo",218,32,10,8,8,10,11,10,0,0,8,0.297
222,10,32,"zac",2,1,1,1,5,11,"fresnillo",219,32,10,8,8,10,11,10,0,0,8,0.297
223,10,32,"zac",2,1,1,1,5,11,"fresnillo",220,32,10,8,8,10,11,10,0,0,8,0.297
224,10,32,"zac",2,1,1,1,5,11,"fresnillo",221,32,10,8,8,10,11,10,0,0,8,0.297
225,10,32,"zac",2,1,1,1,5,11,"fresnillo",222,32,10,8,8,10,11,10,0,0,8,0.297
226,10,32,"zac",2,1,1,1,5,11,"fresnillo",223,32,10,8,8,10,11,10,0,0,8,0.297
227,10,32,"zac",2,1,1,1,5,11,"fresnillo",224,32,10,8,8,10,11,10,0,0,8,0.297
228,10,32,"zac",2,1,1,1,5,11,"fresnillo",225,32,10,7,7,10,11,10,0,0,8,0.297
229,10,32,"zac",2,1,1,1,5,11,"fresnillo",226,32,10,8,8,10,11,10,0,0,8,0.297
230,10,32,"zac",2,1,1,1,5,11,"fresnillo",227,32,10,7,7,10,11,10,0,0,8,0.297
231,10,32,"zac",2,1,1,1,5,11,"fresnillo",228,32,10,7,7,10,11,10,0,0,8,0.297
232,10,32,"zac",2,1,1,1,5,11,"fresnillo",229,32,10,7,7,10,11,10,0,0,8,0.297
233,10,32,"zac",2,1,1,1,7,11,"fresnillo",230,32,10,7,7,12,13,12,0,0,14,0.315
234,10,32,"zac",2,1,1,1,7,11,"fresnillo",231,32,10,7,7,12,13,12,0,0,14,0.315
235,10,32,"zac",2,1,1,1,7,11,"fresnillo",232,32,10,7,7,12,13,12,0,0,14,0.315
236,10,32,"zac",2,1,1,1,7,11,"fresnillo",233,32,10,7,7,12,13,12,0,0,14,0.315
237,10,32,"zac",2,1,1,1,7,11,"fresnillo",234,32,10,7,7,12,13,12,0,0,14,0.315
238,10,32,"zac",2,1,1,1,7,11,"fresnillo",235,32,10,7,7,12,13,12,0,0,14,0.315
239,10,32,"zac",2,1,1,1,7,11,"fresnillo",236,32,10,7,7,12,13,12,0,0,14,0.315
240,10,32,"zac",2,1,1,1,7,11,"fresnillo",237,32,10,7,7,12,13,12,0,0,14,0.315
241,10,32,"zac",2,1,1,1,7,11,"fresnillo",238,32,10,7,7,12,13,12,0,0,14,0.315
242,10,32,"zac",2,1,1,1,5,11,"fresnillo",239,32,10,7,7,10,11,10,0,0,8,0.297
243,10,32,"zac",2,1,1,1,5,11,"fresnillo",240,32,10,7,7,10,11,10,0,0,8,0.297
244,10,32,"zac",2,1,1,1,5,11,"fresnillo",241,32,10,7,7,10,11,10,0,0,8,0.297
245,10,32,"zac",2,1,1,1,5,11,"fresnillo",242,32,10,8,8,10,11,10,0,0,8,0.297
246,10,32,"zac",2,1,1,1,5,11,"fresnillo",243,32,10,8,8,10,11,10,0,0,8,0.297
247,10,32,"zac",2,1,1,1,5,11,"fresnillo",244,32,10,8,8,10,11,10,0,0,8,0.297
248,10,32,"zac",2,1,1,1,5,11,"fresnillo",245,32,10,8,8,10,11,10,0,0,8,0.297
249,10,32,"zac",2,1,1,1,5,11,"fresnillo",246,32,10,7,7,10,11,10,0,0,8,0.297
