"seccion","munn","edo","edon","disloc2018","disloc2011","pobtot","esc1","esc3","SQ","dsi_pob"
338,5,"bcs",3,1,12,4096,4,1,11,0.261352319199881
339,5,"bcs",3,1,12,4873,4,1,11,0.261352319199881
340,5,"bcs",3,1,12,1310,4,1,11,0.261352319199881
341,5,"bcs",3,1,12,981,4,1,11,0.261352319199881
342,5,"bcs",3,1,12,1115,4,1,11,0.261352319199881
343,5,"bcs",3,1,12,890,4,1,11,0.261352319199881
344,5,"bcs",3,1,12,1756,4,1,11,0.261352319199881
345,5,"bcs",3,1,12,435,4,1,11,0.261352319199881
346,5,"bcs",3,1,12,792,4,1,11,0.261352319199881
347,5,"bcs",3,1,12,344,4,1,11,0.261352319199881
348,3,"bcs",3,15,5,797,15,15,5,0.549163710086163
349,3,"bcs",3,15,5,824,15,15,5,0.549163710086163
350,3,"bcs",3,15,5,663,15,15,5,0.549163710086163
351,4,"bcs",3,6,8,328,6,6,8,0.350720622786408
352,4,"bcs",3,6,8,434,6,6,8,0.350720622786408
353,4,"bcs",3,9,8,3517,9,9,8,0.0623352908219377
354,4,"bcs",3,9,8,2585,9,9,8,0.0623352908219377
355,4,"bcs",3,7,8,1833,7,7,8,0.347494476978644
356,4,"bcs",3,9,8,1678,9,9,8,0.0623352908219377
357,4,"bcs",3,6,8,623,6,6,8,0.350720622786408
358,4,"bcs",3,6,8,2428,6,6,8,0.350720622786408
359,4,"bcs",3,6,8,2852,6,6,8,0.350720622786408
360,4,"bcs",3,6,8,1276,6,6,8,0.350720622786408
361,4,"bcs",3,6,8,1300,6,6,8,0.350720622786408
362,4,"bcs",3,6,8,3081,6,6,8,0.350720622786408
363,4,"bcs",3,6,8,1862,6,6,8,0.350720622786408
364,4,"bcs",3,6,8,321,6,6,8,0.350720622786408
365,4,"bcs",3,7,8,1272,7,7,8,0.347494476978644
366,4,"bcs",3,7,8,1180,7,7,8,0.347494476978644
367,4,"bcs",3,7,8,1177,7,7,8,0.347494476978644
368,4,"bcs",3,7,8,1172,7,7,8,0.347494476978644
369,4,"bcs",3,7,8,2139,7,7,8,0.347494476978644
370,4,"bcs",3,7,8,934,7,7,8,0.347494476978644
371,4,"bcs",3,7,8,796,7,7,8,0.347494476978644
372,4,"bcs",3,7,8,1394,7,7,8,0.347494476978644
373,4,"bcs",3,7,8,1448,7,7,8,0.347494476978644
374,4,"bcs",3,7,8,1625,7,7,8,0.347494476978644
375,4,"bcs",3,7,8,2935,7,7,8,0.347494476978644
376,4,"bcs",3,7,8,1610,7,7,8,0.347494476978644
377,4,"bcs",3,7,8,3217,7,7,8,0.347494476978644
378,4,"bcs",3,7,8,610,7,7,8,0.347494476978644
379,4,"bcs",3,7,8,333,7,7,8,0.347494476978644
380,4,"bcs",3,7,8,2624,7,7,8,0.347494476978644
381,4,"bcs",3,7,8,968,7,7,8,0.347494476978644
382,4,"bcs",3,7,8,1121,7,7,8,0.347494476978644
383,4,"bcs",3,7,8,1330,7,7,8,0.347494476978644
384,4,"bcs",3,7,8,971,7,7,8,0.347494476978644
385,4,"bcs",3,7,8,1471,7,7,8,0.347494476978644
386,4,"bcs",3,7,8,1211,7,7,8,0.347494476978644
387,4,"bcs",3,7,8,986,7,7,8,0.347494476978644
388,4,"bcs",3,7,8,1647,7,7,8,0.347494476978644
