"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","cab","mun","disloc2005","disloc2017","demarc2008","X","edon.y","munn.y","escenario1","escenario2","escenario3","pan_clv1","pri_clv1","esc1_panCLV1","esc1_priCLV1","E1","dsiE1_E3"
112,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.02,111,18,4,11,4,4,4,4,0,0,11,1
113,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.02,112,18,4,11,4,4,4,4,0,0,11,1
114,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.02,113,18,4,11,4,4,4,4,0,0,11,1
115,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.07,114,18,4,11,4,4,4,4,0,0,11,1
116,4,18,"nay",3,3,3,3,"mezcales","bahia banderas",14,18,4.07,115,18,4,12,3,3,3,3,0,0,12,1
117,4,18,"nay",3,3,3,3,"mezcales","bahia banderas",14,18,4.07,116,18,4,12,3,3,3,3,0,0,12,1
118,4,18,"nay",3,3,3,3,"mezcales","bahia banderas",14,18,4.03,117,18,4,12,3,3,3,3,0,0,12,1
119,4,18,"nay",3,3,3,3,"mezcales","bahia banderas",14,18,4.06,118,18,4,12,3,3,3,3,0,0,12,1
120,4,18,"nay",3,3,3,3,"mezcales","bahia banderas",14,18,4.06,119,18,4,12,3,3,3,3,0,0,12,1
121,4,18,"nay",3,3,3,3,"mezcales","bahia banderas",14,18,4.05,120,18,4,12,3,3,3,3,0,0,12,1
122,4,18,"nay",3,3,3,3,"mezcales","bahia banderas",14,18,4.05,121,18,4,12,3,3,3,3,0,0,12,1
123,4,18,"nay",3,3,3,3,"mezcales","bahia banderas",14,18,4.05,122,18,4,12,3,3,3,3,0,0,12,1
124,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.01,123,18,5,16,13,13,13,13,0,0,15,0.653
125,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.01,124,18,5,16,13,13,13,13,0,0,15,0.653
126,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.01,125,18,5,16,13,13,13,13,0,0,15,0.653
127,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.01,126,18,5,16,13,13,13,13,0,0,15,0.653
128,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.01,127,18,5,16,13,13,13,13,0,0,15,0.653
129,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.01,128,18,5,16,13,13,13,13,0,0,15,0.653
130,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.01,129,18,5,15,13,13,13,13,0,0,15,0.653
131,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.01,130,18,5,15,13,13,13,13,0,0,15,0.653
132,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.02,131,18,5,16,13,13,13,13,0,0,15,0.653
133,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.02,132,18,5,15,13,13,13,13,0,0,15,0.653
134,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.02,133,18,5,15,13,13,13,13,0,0,15,0.653
135,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.02,134,18,5,15,13,13,13,13,0,0,15,0.653
136,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.02,135,18,5,15,13,13,13,13,0,0,15,0.653
137,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.02,136,18,5,15,13,13,13,13,0,0,15,0.653
138,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.02,137,18,5,15,13,13,13,13,0,0,15,0.653
139,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.04,138,18,5,15,14,14,14,14,0,0,13,0.537
140,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.03,139,18,5,16,13,13,13,13,0,0,15,0.653
141,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.03,140,18,5,16,13,13,13,13,0,0,15,0.653
142,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.03,141,18,5,16,13,13,13,13,0,0,15,0.653
143,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.03,142,18,5,16,13,13,13,13,0,0,15,0.653
144,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.04,143,18,5,15,14,14,14,14,0,0,13,0.537
145,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.04,144,18,5,15,14,14,14,14,0,0,13,0.537
146,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.04,145,18,5,15,14,14,14,14,0,0,13,0.537
147,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.04,146,18,5,15,14,14,14,14,0,0,13,0.537
148,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.04,147,18,5,15,14,14,14,14,0,0,13,0.537
149,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.04,148,18,5,15,14,14,14,14,0,0,13,0.537
150,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.04,149,18,5,15,14,14,14,14,0,0,13,0.537
151,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.04,150,18,5,15,14,14,14,14,0,0,13,0.537
152,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.04,151,18,5,15,14,14,14,14,0,0,13,0.537
153,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.05,152,18,5,15,13,13,13,13,0,0,15,0.653
154,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.05,153,18,5,15,14,14,14,14,0,0,13,0.537
