"seccion","munn","edon","disloc2016","disloc2013","pobtot","esc1","esc3","SQ","dsi_pob"
208,13,29,10,18,1098,15,2,18,0.609729914363091
209,13,29,10,18,1027,15,2,18,0.609729914363091
210,13,29,10,18,369,15,2,18,0.609729914363091
211,13,29,10,18,1227,15,2,18,0.609729914363091
212,13,29,11,19,675,14,3,19,0.49556786120352
213,13,29,10,19,4234,15,2,18,0.609729914363091
214,13,29,10,19,2980,15,2,18,0.609729914363091
215,13,29,10,18,418,15,2,18,0.609729914363091
216,13,29,10,18,1280,15,2,18,0.609729914363091
217,13,29,10,18,1024,15,2,18,0.609729914363091
218,13,29,10,18,842,15,2,18,0.609729914363091
219,13,29,10,18,1693,15,2,18,0.609729914363091
220,14,29,5,12,2726,3,12,12,0.430795622339964
221,14,29,5,12,2346,3,12,12,0.430795622339964
222,14,29,5,12,1518,3,12,12,0.430795622339964
223,14,29,5,12,499,3,12,12,0.430795622339964
224,14,29,5,12,881,3,12,12,0.430795622339964
225,14,29,5,12,357,3,12,12,0.430795622339964
226,14,29,5,12,641,3,12,12,0.430795622339964
227,14,29,5,12,733,3,12,12,0.430795622339964
228,14,29,5,12,2916,3,12,12,0.430795622339964
229,14,29,5,12,149,3,12,12,0.430795622339964
230,14,29,5,12,726,3,12,12,0.430795622339964
231,14,29,5,12,395,3,12,12,0.430795622339964
232,15,29,6,11,2481,3,10,11,0.75552827061207
233,15,29,6,11,1868,3,10,11,0.75552827061207
234,15,29,6,11,1663,3,10,11,0.75552827061207
235,15,29,6,11,210,3,10,11,0.75552827061207
236,15,29,6,11,320,3,10,11,0.75552827061207
237,15,29,6,11,503,3,10,11,0.75552827061207
238,15,29,6,11,411,3,10,11,0.75552827061207
239,15,29,6,11,352,3,10,11,0.75552827061207
240,15,29,6,11,1048,3,10,11,0.75552827061207
241,15,29,6,11,2348,3,10,11,0.75552827061207
242,15,29,6,11,1951,3,10,11,0.75552827061207
243,15,29,6,11,189,3,10,11,0.75552827061207
244,15,29,6,11,614,3,10,11,0.75552827061207
245,15,29,6,11,2863,3,10,11,0.75552827061207
246,15,29,6,11,886,3,10,11,0.75552827061207
247,15,29,6,11,1977,3,10,11,0.75552827061207
248,15,29,6,11,1490,3,10,11,0.75552827061207
249,15,29,6,11,833,3,10,11,0.75552827061207
250,15,29,6,11,1195,3,10,11,0.75552827061207
251,15,29,6,11,3672,3,10,11,0.75552827061207
252,15,29,6,11,2612,3,10,11,0.75552827061207
253,15,29,6,11,2007,3,10,11,0.75552827061207
254,58,29,14,10,3562,10,9,10,0.720938801075863
255,58,29,14,10,3283,10,9,10,0.720938801075863
256,15,29,6,11,1803,3,10,11,0.75552827061207
257,15,29,6,11,1245,3,10,11,0.75552827061207
258,15,29,6,11,623,3,10,11,0.75552827061207
259,16,29,10,19,1879,15,2,18,0.609729914363091
260,16,29,10,19,1540,15,2,18,0.609729914363091
261,16,29,10,19,1890,15,2,18,0.609729914363091
262,16,29,10,19,1482,15,2,18,0.609729914363091
263,17,29,12,7,2550,11,7,7,0.343415176432254
264,17,29,12,7,2603,11,7,7,0.343415176432254
265,17,29,12,7,2537,11,7,7,0.343415176432254
266,17,29,12,7,2020,11,7,7,0.343415176432254
267,18,29,8,3,2215,5,1,3,0.814544166458943
268,18,29,8,3,3290,5,1,3,0.814544166458943
269,18,29,8,3,2167,5,1,3,0.814544166458943
270,18,29,8,3,2048,5,1,3,0.814544166458943
271,18,29,8,3,1989,5,1,3,0.814544166458943
272,18,29,8,3,4111,5,1,3,0.814544166458943
273,18,29,8,3,2726,5,1,3,0.814544166458943
274,18,29,8,3,1608,5,1,3,0.814544166458943
275,18,29,8,3,2281,5,1,3,0.814544166458943
276,18,29,8,3,2713,5,1,3,0.814544166458943
277,18,29,8,3,824,5,1,3,0.814544166458943
278,18,29,8,3,786,5,1,3,0.814544166458943
279,18,29,8,3,1989,5,1,3,0.814544166458943
280,18,29,8,3,525,5,1,3,0.814544166458943
281,18,29,8,3,2517,5,1,3,0.814544166458943
282,18,29,8,3,667,5,1,3,0.814544166458943
283,18,29,8,3,1953,5,1,3,0.814544166458943
284,19,29,14,10,1789,3,9,10,0.720938801075863
285,19,29,14,10,1475,3,9,10,0.720938801075863
286,19,29,14,10,2583,3,9,10,0.720938801075863
287,19,29,14,10,2511,3,9,10,0.720938801075863
288,19,29,14,10,4071,3,9,10,0.720938801075863
289,19,29,14,10,2003,3,9,10,0.720938801075863
290,19,29,14,10,3367,3,9,10,0.720938801075863
291,19,29,14,10,919,3,9,10,0.720938801075863
292,20,29,1,12,1944,9,6,13,0.81198467230444
293,20,29,1,12,1653,9,6,13,0.81198467230444
294,20,29,1,12,1322,9,6,13,0.81198467230444
295,60,29,1,12,3486,9,6,13,0.81198467230444
296,60,29,1,12,2216,9,6,13,0.81198467230444
297,20,29,1,12,1859,9,6,13,0.81198467230444
298,20,29,1,12,1749,9,6,13,0.81198467230444
299,21,29,1,13,3219,9,6,13,0.81198467230444
300,21,29,1,13,1912,9,6,13,0.81198467230444
301,21,29,1,13,2982,9,6,13,0.81198467230444
302,21,29,1,13,3057,9,6,13,0.81198467230444
303,21,29,1,13,1138,9,6,13,0.81198467230444
304,21,29,1,13,1316,9,6,13,0.81198467230444
305,21,29,1,13,543,9,6,13,0.81198467230444
306,21,29,1,13,155,9,6,13,0.81198467230444
307,21,29,1,13,689,9,6,13,0.81198467230444
308,21,29,1,13,1554,9,6,13,0.81198467230444
309,22,29,12,9,1627,11,7,7,0.343415176432254
310,22,29,12,9,1704,11,7,7,0.343415176432254
311,22,29,12,9,1537,11,7,7,0.343415176432254
312,22,29,12,9,891,11,7,7,0.343415176432254
313,46,29,12,9,2231,11,7,7,0.343415176432254
314,46,29,12,9,2074,11,7,7,0.343415176432254
