"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2012","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","pan_clv1","mc_clv2","pan_cnv2","prd_clv2","pri_clv2","esc1_mcCLV1","esc1_panCLV1","esc1_mcCLV1.1","esc2_mcCLV2","esc2_panCNV2","esc2_prdCLV2","esc2_priCLV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
137,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
138,125,14,"jal",7,3,3,3,1,3,14,125,3,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.256,0.941,7,0.205
139,9,14,"jal",17,1,1,1,3,1,14,9,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578,0.991,2,0.584
140,9,14,"jal",17,1,1,1,3,1,14,9,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578,0.991,2,0.584
141,9,14,"jal",17,1,1,1,3,1,14,9,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578,0.991,2,0.584
142,9,14,"jal",17,1,1,1,3,1,14,9,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578,0.991,2,0.584
143,9,14,"jal",17,1,1,1,3,1,14,9,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578,0.991,2,0.584
144,10,14,"jal",10,17,18,17,4,18,14,10,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.352,0.605,8,0.455
145,10,14,"jal",10,17,18,17,4,18,14,10,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.352,0.605,8,0.455
146,10,14,"jal",10,17,18,17,4,18,14,10,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.352,0.605,8,0.455
147,10,14,"jal",10,17,18,17,4,18,14,10,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.352,0.605,8,0.455
148,10,14,"jal",10,17,18,17,4,18,14,10,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.352,0.605,8,0.455
149,11,14,"jal",12,18,5,18,4,5,14,11,6,6,4,6,6,2,6,5,4,1,1,1,0,1,0,0,18,0.689,0.605,8,0.455
150,11,14,"jal",12,18,5,18,4,5,14,11,6,6,4,6,6,2,6,5,4,1,1,1,0,1,0,0,18,0.689,0.605,8,0.455
151,11,14,"jal",12,18,5,18,4,5,14,11,6,6,4,6,6,2,6,5,4,1,1,1,0,1,0,0,18,0.689,0.605,8,0.455
152,11,14,"jal",12,18,5,18,4,5,14,11,6,6,4,6,6,2,6,5,4,1,1,1,0,1,0,0,18,0.689,0.605,8,0.455
153,11,14,"jal",12,18,5,18,4,5,14,11,6,6,4,6,6,2,6,5,4,1,1,1,0,1,0,0,18,0.689,0.605,8,0.455
154,11,14,"jal",12,18,5,18,4,5,14,11,6,6,4,6,6,2,6,5,4,1,1,1,0,1,0,0,18,0.689,0.605,8,0.455
155,12,14,"jal",11,5,5,5,4,5,14,12,6,6,4,6,6,2,6,3,4,1,1,1,0,1,0,0,18,0.689,0.605,8,0.455
156,12,14,"jal",11,5,5,5,4,5,14,12,6,6,4,6,6,2,6,3,4,1,1,1,0,1,0,0,18,0.689,0.605,8,0.455
157,12,14,"jal",11,5,5,5,4,5,14,12,6,6,4,6,6,2,6,3,4,1,1,1,0,1,0,0,18,0.689,0.605,8,0.455
158,12,14,"jal",11,5,5,5,4,5,14,12,6,6,4,6,6,2,6,3,4,1,1,1,0,1,0,0,18,0.689,0.605,8,0.455
159,12,14,"jal",11,5,5,5,4,5,14,12,6,6,4,6,6,2,6,3,4,1,1,1,0,1,0,0,18,0.689,0.605,8,0.455
160,12,14,"jal",11,5,5,5,4,5,14,12,6,6,4,6,6,2,6,3,4,1,1,1,0,1,0,0,18,0.689,0.605,8,0.455
161,13,14,"jal",8,15,15,15,8,15,14,13,7,8,8,1,8,6,8,6,8,0,0,0,0,1,0,1,15,0.481,1,7,0.481
162,13,14,"jal",8,15,15,15,8,15,14,13,7,8,8,1,8,6,8,6,8,0,0,0,0,1,0,1,15,0.481,1,7,0.481
163,13,14,"jal",8,15,15,15,8,15,14,13,7,8,8,1,8,6,8,6,8,0,0,0,0,1,0,1,15,0.481,1,7,0.481
