"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","cab","disloc2013","X","edon.y","munn.y","escenario1","escenario2","escenario3","panal_cnv1","pri_clv1","mc_clv2","panal_cnv2","pan_clv2","pan_cnv2","pri_clv2","esc1_panalCNV1","esc1_priCLV1","esc2_mcCLV2","esc2_panalCNV2","esc2_panCLV2","esc2_panCNV2","esc2_priCLV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
101,6,8,"cua",5,7,7,7,13,"guerrero",11,97,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
102,7,8,"cua",2,9,9,9,22,"guachochi",21,98,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
103,7,8,"cua",2,9,9,9,22,"guachochi",21,99,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
104,7,8,"cua",2,9,9,9,22,"guachochi",21,100,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
105,7,8,"cua",2,9,9,9,22,"guachochi",21,101,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
106,7,8,"cua",2,9,9,9,22,"guachochi",21,102,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
107,7,8,"cua",2,9,9,9,22,"guachochi",21,103,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
108,7,8,"cua",2,9,9,9,22,"guachochi",21,104,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
109,7,8,"cua",2,9,9,9,22,"guachochi",21,105,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
110,7,8,"cua",2,9,9,9,22,"guachochi",21,106,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
111,7,8,"cua",2,9,9,9,22,"guachochi",21,107,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
112,7,8,"cua",2,9,9,9,22,"guachochi",21,108,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
113,7,8,"cua",2,9,9,9,22,"guachochi",21,109,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
114,7,8,"cua",2,9,9,9,22,"guachochi",21,110,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
115,7,8,"cua",2,9,9,9,22,"guachochi",21,111,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
116,8,8,"cua",2,7,9,9,22,"guachochi",21,112,8,8,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
117,8,8,"cua",2,7,9,9,22,"guachochi",21,113,8,8,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
118,8,8,"cua",2,7,9,9,22,"guachochi",21,114,8,8,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
119,8,8,"cua",2,7,9,9,22,"guachochi",21,115,8,8,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
120,8,8,"cua",2,7,9,9,22,"guachochi",21,116,8,8,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
121,8,8,"cua",2,7,9,9,22,"guachochi",21,117,8,8,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757,6,1
