"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","cab","mun","disloc2005","disloc2017","demarc2008","X","edon.y","munn.y","escenario1","escenario2","escenario3","pan_clv1","pri_clv1","esc1_panCLV1","esc1_priCLV1","SQ","dsiSQ_E3"
183,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.07,182,18,5,15,13,13,13,13,0,0,8,0.529
184,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.07,183,18,5,15,13,13,13,13,0,0,8,0.529
185,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.07,184,18,5,15,13,13,13,13,0,0,8,0.529
186,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.07,185,18,5,15,13,13,13,13,0,0,8,0.529
187,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.07,186,18,5,15,13,13,13,13,0,0,8,0.529
188,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.08,187,18,5,15,13,13,13,13,0,0,8,0.529
189,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.08,188,18,5,15,13,13,13,13,0,0,8,0.529
190,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.08,189,18,5,15,13,13,13,13,0,0,8,0.529
191,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.09,190,18,5,15,13,13,13,13,0,0,8,0.529
192,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.09,191,18,5,15,13,13,13,13,0,0,8,0.529
193,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.09,192,18,5,15,13,13,13,13,0,0,8,0.529
194,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.09,193,18,5,15,13,13,13,13,0,0,8,0.529
195,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.09,194,18,5,15,13,13,13,13,0,0,8,0.529
196,6,18,"nay",2,1,1,1,"acaponeta","huajicori",18,1,6.01,195,18,6,1,1,1,1,1,1,1,18,0.77
