"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2015","X","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","morena_clv1","morena_iee1","panal_clv1","pes_clv1","pri_clv1","pt_clv1","pvem_clv1","mc_clv2","panal_clv2","pes_clv2","pri_clv2","pt_clv2","pvem_clv2","esc1_morCLV1","esc1_morIEE1","esc1_panalCLV1","esc1_pesCLV1","esc1_mcCLV1","esc1_priCLV1","esc1_ptCLV1","esc1_pvemCLV1","esc2_mcCLV2","esc2_panalCLV2","esc2_pesCLV2","esc2_priCLV2","esc2_ptCLV2","esc2_pvemCLV2","SQ","dsiSQ_E3"
87,1,6,"col",1,1,1,1,3,3,87,6,1,14,14,10,6,6,4,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.353
88,1,6,"col",1,1,1,1,3,3,88,6,1,14,14,10,6,6,1,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.353
89,1,6,"col",1,1,1,1,3,3,89,6,1,14,14,10,6,6,1,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.353
90,1,6,"col",1,1,1,1,3,3,90,6,1,14,14,10,6,6,1,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.353
91,1,6,"col",1,1,1,1,3,3,91,6,1,14,14,10,6,6,1,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.353
92,2,6,"col",1,1,1,1,4,4,92,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.419
93,2,6,"col",1,1,1,1,4,4,93,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.419
94,2,6,"col",1,1,1,1,4,4,94,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.419
95,2,6,"col",1,1,1,1,4,4,95,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.419
96,2,6,"col",1,1,1,1,4,4,96,6,2,1,1,14,16,16,5,4,16,14,16,16,16,4,16,14,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.419
