"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2012","cab","X","edon.y","munn.y","escenario1","escenario2","escenario3_jge","escenario3","mc_clv1","pan_iee1","pri_clv1","pan_clv2","prd_clv2","prd_cnv2","esc1_priCLV1","esc1_panIEE1","esc1_mcCLV1","esc2_panCLV2","esc2_prdCLV2","esc2_prdCNV2","SQ","dsiSQ_E1"
69,4,17,"mor",2,3,5,3,10,16,"ayala",69,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
70,4,17,"mor",2,3,5,3,10,16,"ayala",70,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
71,4,17,"mor",2,3,5,3,10,16,"ayala",71,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
72,4,17,"mor",2,3,5,3,10,16,"ayala",72,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
73,4,17,"mor",2,3,5,3,10,16,"ayala",73,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
74,4,17,"mor",2,3,5,3,10,16,"ayala",74,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
75,4,17,"mor",2,3,5,3,10,16,"ayala",75,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
76,4,17,"mor",2,3,5,3,10,16,"ayala",76,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
77,4,17,"mor",2,3,5,3,10,16,"ayala",77,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
78,4,17,"mor",2,3,5,3,10,16,"ayala",78,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
79,4,17,"mor",2,3,5,3,10,16,"ayala",79,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
80,4,17,"mor",2,3,5,3,10,16,"ayala",80,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
81,4,17,"mor",2,3,5,3,10,16,"ayala",81,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
82,4,17,"mor",2,3,5,3,10,16,"ayala",82,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
83,4,17,"mor",2,3,5,3,10,16,"ayala",83,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
84,4,17,"mor",2,3,5,3,10,16,"ayala",84,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
85,4,17,"mor",2,3,5,3,10,16,"ayala",85,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
86,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",86,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,5,0.472
87,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",87,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,5,0.472
88,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",88,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,5,0.472
89,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",89,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,5,0.472
90,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",90,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,5,0.472
91,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",91,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,5,0.472
92,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",92,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,5,0.472
93,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",93,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,5,0.472
94,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",94,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,5,0.472
95,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",95,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,5,0.472
96,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",96,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,5,0.472
97,6,17,"mor",2,3,3,3,4,14,"yecapixtla",97,17,6,12,12,11,12,2,8,4,5,11,12,0,0,0,0,0,1,14,0.482
98,6,17,"mor",2,3,3,3,4,14,"yecapixtla",98,17,6,12,12,11,12,2,8,4,5,11,12,0,0,0,0,0,1,14,0.482
99,6,17,"mor",2,3,3,3,4,14,"yecapixtla",99,17,6,12,12,11,12,2,8,4,5,11,12,0,0,0,0,0,1,14,0.482
100,6,17,"mor",2,3,3,3,4,14,"yecapixtla",100,17,6,12,12,11,12,2,8,4,5,11,12,0,0,0,0,0,1,14,0.482
101,6,17,"mor",2,3,3,3,4,14,"yecapixtla",101,17,6,12,12,11,12,2,8,4,5,11,12,0,0,0,0,0,1,14,0.482
102,6,17,"mor",2,3,3,3,4,14,"yecapixtla",102,17,6,12,12,11,12,2,8,4,5,11,12,0,0,0,0,0,1,14,0.482
103,6,17,"mor",2,3,3,3,7,14,"cuautla",103,17,6,12,12,12,12,2,8,4,5,11,12,0,0,0,0,0,1,14,0.482
104,6,17,"mor",2,3,3,3,7,14,"cuautla",104,17,6,11,11,12,12,2,8,4,5,11,12,0,0,0,0,1,0,17,0.589
105,6,17,"mor",2,3,3,3,7,14,"cuautla",105,17,6,11,11,12,12,2,8,4,5,11,12,0,0,0,0,1,0,17,0.589
106,6,17,"mor",2,3,3,3,7,14,"cuautla",106,17,6,11,11,12,12,2,8,4,5,12,12,0,0,0,0,0,0,17,0.589
107,6,17,"mor",2,3,3,3,7,14,"cuautla",107,17,6,12,12,12,12,2,8,4,5,12,12,0,0,0,0,1,1,14,0.482
