"seccion","munn.x","edon.x","edo.x","disfed1979.x","disfed1997.x","disfed2006.x","disfed2018.x","disloc2012.x","disloc2018.x","cab","nota.x","X","munn.y","edon.y","edo.y","disfed1979.y","disfed1997.y","disfed2006.y","disfed2018.y","disloc2012.y","disloc2018.y","nota.y","escenario1","escenario2","escenario3","pri_clv1","pri_clv2","juanZepedaPerez1","lorenzoLopezMendez1a","lorenzoLopezMendez1b","antonioPerezGomez1","leonardoLopezPerez1","magdalenaGironLopez1","JoseDomingoVazquezLopez1a","JoseDomingoVazquezLopez1b","esc1_priCLV1","esc2_priCLV2","SQ","dsiSQ_E1","dsiSQ_E3"
365,23,7,"cps",2,5,5,5,22,22,"Chamula","0",365,23,7,"cps",2,5,5,5,22,5,NA,21,21,5,15,5,"E","G","M","R","21","21","21","21",0,0,22,0.541,0.412
366,23,7,"cps",2,5,5,5,22,22,"Chamula","0",366,23,7,"cps",2,5,5,5,22,5,NA,21,21,5,15,5,"E","G","M","R","21","21","21","21",0,0,22,0.541,0.412
367,23,7,"cps",2,5,5,5,22,22,"Chamula","0",367,23,7,"cps",2,5,5,5,22,5,NA,21,21,5,15,5,"E","G","M","R","21","21","21","21",0,0,22,0.541,0.412
368,23,7,"cps",2,5,5,5,22,22,"Chamula","0",368,23,7,"cps",2,5,5,5,22,5,NA,21,21,5,15,5,"E","G","M","R","21","21","21","21",0,0,22,0.541,0.412
369,23,7,"cps",2,5,5,5,22,22,"Chamula","0",369,23,7,"cps",2,5,5,5,22,5,NA,21,21,5,15,5,"E","G","M","R","21","21","21","21",0,0,22,0.541,0.412
370,23,7,"cps",2,5,5,5,22,22,"Chamula","0",370,23,7,"cps",2,5,5,5,22,5,NA,21,21,5,15,5,"E","G","M","R","21","21","21","21",0,0,22,0.541,0.412
371,23,7,"cps",2,5,5,5,22,22,"Chamula","0",371,23,7,"cps",2,5,5,5,22,5,NA,21,21,5,15,5,"E","G","M","R","21","21","21","21",0,0,22,0.541,0.412
372,23,7,"cps",2,5,5,5,22,22,"Chamula","0",372,23,7,"cps",2,5,5,5,22,5,NA,21,21,5,15,5,"E","G","M","R","21","21","21","21",0,0,22,0.541,0.412
373,23,7,"cps",2,5,5,5,22,22,"Chamula","0",373,23,7,"cps",2,5,5,5,22,5,NA,21,21,5,15,5,"E","G","M","R","21","21","21","21",0,0,22,0.541,0.412
374,23,7,"cps",2,5,5,5,22,22,"Chamula","0",374,23,7,"cps",2,5,5,5,22,5,NA,21,21,5,15,5,"E","G","M","R","21","21","21","21",0,0,22,0.541,0.412
375,24,7,"cps",3,8,3,11,21,20,"Las Margaritas","0",375,24,7,"cps",3,8,3,11,21,23,NA,19,19,23,4,23,"A","19","L","19","19","19","19","�",0,0,20,0.455,0.472
376,24,7,"cps",3,8,3,11,21,20,"Las Margaritas","0",376,24,7,"cps",3,8,3,11,21,23,NA,19,19,23,4,23,"A","19","L","19","19","19","19","�",0,0,20,0.455,0.472
377,24,7,"cps",3,8,3,11,21,20,"Las Margaritas","0",377,24,7,"cps",3,8,3,11,21,23,NA,19,19,23,4,23,"A","19","L","19","19","19","19","�",0,0,20,0.455,0.472
378,24,7,"cps",3,8,3,11,21,20,"Las Margaritas","0",378,24,7,"cps",3,8,3,11,21,23,NA,19,19,23,4,23,"A","19","L","19","19","19","19","�",0,0,20,0.455,0.472
379,24,7,"cps",3,8,3,11,21,20,"Las Margaritas","0",379,24,7,"cps",3,8,3,11,21,23,NA,19,19,23,4,23,"A","19","L","19","19","19","19","�",0,0,20,0.455,0.472
380,24,7,"cps",3,8,3,11,21,20,"Las Margaritas","0",380,24,7,"cps",3,8,3,11,21,23,NA,19,19,23,4,23,"A","19","L","19","19","19","19","�",0,0,20,0.455,0.472
381,25,7,"cps",4,2,2,4,12,11,"Bochil","0",381,25,7,"cps",4,2,2,4,12,11,NA,4,4,11,5,11,"4","4","4","4","4","4","4","4",0,0,11,0.655,0.416
382,25,7,"cps",4,2,2,4,12,11,"Bochil","0",382,25,7,"cps",4,2,2,4,12,11,NA,4,4,11,5,11,"4","4","4","4","4","4","4","4",0,0,11,0.655,0.416
383,25,7,"cps",4,2,2,4,12,11,"Bochil","0",383,25,7,"cps",4,2,2,4,12,11,NA,4,4,11,5,11,"F","4","4","4","4","4","4","4",0,0,11,0.655,0.416
384,26,7,"cps",2,5,2,2,22,21,"Tenejapa","0",384,26,7,"cps",2,5,2,2,22,10,NA,23,23,10,15,10,"F","G","M","R","U","23","23","23",0,0,22,0.169,0.341
385,26,7,"cps",2,5,2,2,22,21,"Tenejapa","0",385,26,7,"cps",2,5,2,2,22,10,NA,23,23,10,15,10,"F","G","M","R","U","23","23","23",0,0,22,0.169,0.341
386,26,7,"cps",2,5,2,2,22,21,"Tenejapa","0",386,26,7,"cps",2,5,2,2,22,10,NA,23,23,10,15,10,"F","G","M","R","U","23","23","23",0,0,22,0.169,0.341
387,26,7,"cps",2,5,2,2,22,21,"Tenejapa","0",387,26,7,"cps",2,5,2,2,22,10,NA,23,23,10,15,10,"F","G","M","R","U","23","23","23",0,0,22,0.169,0.341
388,26,7,"cps",2,5,2,2,22,21,"Tenejapa","0",388,26,7,"cps",2,5,2,2,22,10,NA,23,23,10,15,10,"F","G","M","R","U","23","23","23",0,0,22,0.169,0.341
389,26,7,"cps",2,5,2,2,22,21,"Tenejapa","0",389,26,7,"cps",2,5,2,2,22,10,NA,23,23,10,15,10,"F","G","M","R","U","23","23","23",0,0,22,0.169,0.341
390,26,7,"cps",2,5,2,2,22,21,"Tenejapa","0",390,26,7,"cps",2,5,2,2,22,10,NA,23,23,10,15,10,"F","G","M","R","U","23","23","23",0,0,22,0.169,0.341
391,26,7,"cps",2,5,2,2,22,21,"Tenejapa","0",391,26,7,"cps",2,5,2,2,22,10,NA,23,23,10,15,10,"F","G","M","R","U","23","23","23",0,0,22,0.169,0.341
392,26,7,"cps",2,5,2,2,22,21,"Tenejapa","0",392,26,7,"cps",2,5,2,2,22,10,NA,23,23,10,15,10,"F","G","M","R","U","23","23","23",0,0,22,0.169,0.341
393,26,7,"cps",2,5,2,2,22,21,"Tenejapa","0",393,26,7,"cps",2,5,2,2,22,10,NA,23,23,10,15,10,"F","G","M","R","U","23","23","23",0,0,22,0.169,0.341
394,26,7,"cps",2,5,2,2,22,21,"Tenejapa","0",394,26,7,"cps",2,5,2,2,22,10,NA,23,23,10,15,10,"F","G","M","R","U","23","23","23",0,0,22,0.169,0.341
395,26,7,"cps",2,5,2,2,22,21,"Tenejapa","0",395,26,7,"cps",2,5,2,2,22,10,NA,23,23,10,15,10,"F","G","M","R","U","23","23","23",0,0,22,0.169,0.341
396,26,7,"cps",2,5,2,2,22,21,"Tenejapa","0",396,26,7,"cps",2,5,2,2,22,10,NA,23,23,10,15,10,"F","G","M","R","U","23","23","23",0,0,22,0.169,0.341
397,26,7,"cps",2,5,2,2,22,21,"Tenejapa","0",397,26,7,"cps",2,5,2,2,22,10,NA,23,23,10,15,10,"F","G","M","R","U","23","23","23",0,0,22,0.169,0.341
398,112,7,"cps",2,5,2,2,22,21,"Tenejapa","munn=26",398,112,7,"cps",2,5,2,2,22,10,"munn=26",21,21,10,15,10,"21","21","21","R","21","21","21","21",0,0,22,0.541,0.341
399,112,7,"cps",2,5,2,2,22,21,"Tenejapa","munn=26",399,112,7,"cps",2,5,2,2,22,10,"munn=26",21,21,10,15,10,"21","21","21","R","21","21","21","21",0,0,22,0.541,0.341
400,26,7,"cps",2,5,2,2,22,21,"Tenejapa","0",400,26,7,"cps",2,5,2,2,22,10,NA,23,23,10,15,10,"F","G","M","R","U","23","23","23",0,0,22,0.169,0.341
401,26,7,"cps",2,5,2,2,22,21,"Tenejapa","0",401,26,7,"cps",2,5,2,2,22,10,NA,23,23,10,15,10,"F","G","M","R","U","23","23","23",0,0,22,0.169,0.341
402,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",402,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
403,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",403,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
404,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",404,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
405,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",405,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
406,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",406,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
407,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",407,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
408,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",408,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
409,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",409,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
410,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",410,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
411,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",411,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
412,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",412,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
413,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",413,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
414,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",414,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
415,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",415,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
416,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",416,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
417,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",417,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
418,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",418,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
419,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",419,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
420,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",420,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
421,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",421,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
422,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",422,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
423,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",423,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
424,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",424,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
425,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",425,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
426,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",426,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
427,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",427,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
428,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",428,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
429,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",429,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
430,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",430,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
431,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",431,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
432,27,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",432,27,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","J","O","1","1","1","1","1",0,0,3,0.6,0.455
433,28,7,"cps",2,6,6,6,4,3,"Chiapa de Corzo","0",433,28,7,"cps",2,6,6,6,4,16,NA,1,1,16,2,16,"1","1","O","1","1","1","1","1",0,0,3,0.6,0.455
434,28,7,"cps",2,6,6,6,4,3,"Chiapa de Corzo","0",434,28,7,"cps",2,6,6,6,4,16,NA,1,1,16,2,16,"1","1","O","1","1","1","1","1",0,0,3,0.6,0.455
435,28,7,"cps",2,6,6,6,4,3,"Chiapa de Corzo","0",435,28,7,"cps",2,6,6,6,4,16,NA,1,1,16,2,16,"1","1","O","1","1","1","1","1",0,0,3,0.6,0.455
436,29,7,"cps",4,4,6,4,13,2,"Tuxtla Gutiérrez","0",436,29,7,"cps",4,4,6,4,13,9,NA,1,1,9,11,9,"1","1","1","1","1","1","1","1",0,0,1,0.6,0.174
437,29,7,"cps",4,4,6,4,13,2,"Tuxtla Gutiérrez","0",437,29,7,"cps",4,4,6,4,13,9,NA,1,1,9,11,9,"1","1","1","1","1","1","1","1",0,0,1,0.6,0.174
438,29,7,"cps",4,4,6,4,13,2,"Tuxtla Gutiérrez","0",438,29,7,"cps",4,4,6,4,13,9,NA,1,1,9,11,9,"1","1","1","1","1","1","1","1",0,0,1,0.6,0.174
439,30,7,"cps",3,10,8,13,17,17,"Motozintla","0",439,30,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
440,30,7,"cps",3,10,8,13,17,17,"Motozintla","0",440,30,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
441,30,7,"cps",3,10,8,13,17,17,"Motozintla","0",441,30,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
442,30,7,"cps",3,10,8,13,17,17,"Motozintla","0",442,30,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
443,30,7,"cps",3,10,8,13,17,17,"Motozintla","0",443,30,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
444,30,7,"cps",3,10,8,13,17,17,"Motozintla","0",444,30,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
445,30,7,"cps",3,10,8,13,17,17,"Motozintla","0",445,30,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
446,30,7,"cps",3,10,8,13,17,17,"Motozintla","0",446,30,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
447,30,7,"cps",3,10,8,13,17,17,"Motozintla","0",447,30,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
448,30,7,"cps",3,10,8,13,17,17,"Motozintla","0",448,30,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
449,30,7,"cps",3,10,8,13,17,17,"Motozintla","0",449,30,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
450,30,7,"cps",3,10,8,13,17,17,"Motozintla","0",450,30,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
451,30,7,"cps",3,10,8,13,17,17,"Motozintla","0",451,30,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
452,30,7,"cps",3,10,8,13,17,17,"Motozintla","0",452,30,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
453,30,7,"cps",3,10,8,13,17,17,"Motozintla","0",453,30,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
454,30,7,"cps",3,10,8,13,17,17,"Motozintla","0",454,30,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
455,30,7,"cps",3,10,8,13,17,17,"Motozintla","0",455,30,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
456,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",456,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
457,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",457,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
458,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",458,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
459,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",459,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
460,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",460,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
461,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",461,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
462,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",462,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
463,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",463,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
464,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",464,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
465,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",465,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
466,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",466,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
467,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",467,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
468,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",468,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
469,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",469,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
470,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",470,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
471,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",471,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
472,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",472,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
473,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",473,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
474,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",474,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
475,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",475,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
476,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",476,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
477,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",477,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
478,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",478,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
479,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",479,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
480,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",480,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
481,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",481,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
482,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",482,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
483,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",483,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
484,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",484,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
485,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",485,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
486,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",486,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
487,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",487,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
488,31,7,"cps",6,1,1,3,7,4,"Yajalón","0",488,31,7,"cps",6,1,1,3,7,2,NA,17,17,2,17,2,"B","17","Q","17","17","W","17","17",1,0,7,0.313,0.274
489,32,7,"cps",7,11,7,7,16,18,"Mapastepec","0",489,32,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
490,32,7,"cps",7,11,7,7,16,18,"Mapastepec","0",490,32,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
491,32,7,"cps",7,11,7,7,16,18,"Mapastepec","0",491,32,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
492,32,7,"cps",7,11,7,7,16,18,"Mapastepec","0",492,32,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
493,32,7,"cps",7,11,7,7,16,18,"Mapastepec","0",493,32,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
494,32,7,"cps",7,11,7,7,16,18,"Mapastepec","0",494,32,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
495,32,7,"cps",7,11,7,7,16,18,"Mapastepec","0",495,32,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
496,32,7,"cps",7,11,7,7,16,18,"Mapastepec","0",496,32,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
497,32,7,"cps",7,11,7,7,16,18,"Mapastepec","0",497,32,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
498,32,7,"cps",7,11,7,7,16,18,"Mapastepec","0",498,32,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
499,32,7,"cps",7,11,7,7,16,18,"Mapastepec","0",499,32,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
500,32,7,"cps",7,11,7,7,16,18,"Mapastepec","0",500,32,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
501,32,7,"cps",7,11,7,7,16,18,"Mapastepec","0",501,32,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
502,33,7,"cps",4,2,2,4,13,11,"Bochil","0",502,33,7,"cps",4,2,2,4,13,11,NA,4,4,11,5,11,"4","4","4","4","4","4","4","4",0,0,11,0.655,0.416
