"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","disloc2010","X","edon.y","munn.y","escenario1","escenario2","escenario3","clv1","pan_cnv2","esc1_CLV1","esc2_panCNV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
209,5,10,"dgo",1,5,4,4,9,5,203,10,5,9,9,9,9,9,1,1,5,0.353,0.281,9,0.476
210,5,10,"dgo",1,5,4,4,9,5,204,10,5,9,9,9,9,9,1,1,5,0.353,0.281,9,0.476
211,5,10,"dgo",1,5,4,4,9,5,205,10,5,9,9,9,9,9,1,1,5,0.353,0.281,9,0.476
212,5,10,"dgo",1,5,4,4,9,3,206,10,5,9,9,9,9,9,1,1,5,0.353,0.281,9,0.476
213,5,10,"dgo",1,5,4,4,9,3,207,10,5,9,9,9,9,9,1,1,5,0.353,0.281,9,0.476
214,5,10,"dgo",1,5,4,4,9,3,208,10,5,9,9,9,9,9,1,1,5,0.353,0.281,9,0.476
215,5,10,"dgo",1,5,4,4,9,3,209,10,5,9,9,9,9,9,1,1,5,0.353,0.281,9,0.476
216,5,10,"dgo",1,5,4,4,9,3,210,10,5,9,9,9,9,9,1,1,5,0.353,0.281,9,0.476
217,5,10,"dgo",1,5,4,4,9,3,211,10,5,9,9,9,9,9,1,1,5,0.353,0.281,9,0.476
218,5,10,"dgo",1,5,4,4,8,3,212,10,5,9,8,8,8,8,0,1,3,0.353,0.268,10,0.239
219,5,10,"dgo",1,5,4,4,8,3,213,10,5,8,8,8,8,8,1,1,3,0.588,0.268,10,0.239
220,5,10,"dgo",1,5,4,4,8,3,214,10,5,9,8,8,8,8,0,1,3,0.353,0.268,10,0.239
221,5,10,"dgo",1,5,4,4,8,3,215,10,5,9,8,8,8,8,0,1,3,0.353,0.268,10,0.239
222,5,10,"dgo",1,5,4,4,8,3,216,10,5,9,8,8,8,8,0,1,3,0.353,0.268,10,0.239
223,5,10,"dgo",1,5,4,4,9,3,217,10,5,9,9,9,9,9,1,1,5,0.353,0.281,9,0.476
224,5,10,"dgo",1,5,4,4,9,3,218,10,5,9,9,9,9,9,1,1,5,0.353,0.281,9,0.476
225,5,10,"dgo",1,5,4,4,9,3,219,10,5,9,9,9,9,9,1,1,5,0.353,0.281,9,0.476
226,5,10,"dgo",1,5,4,4,9,3,220,10,5,9,9,9,9,9,1,1,5,0.353,0.281,9,0.476
227,5,10,"dgo",1,5,4,4,9,3,221,10,5,9,9,9,9,9,1,1,5,0.353,0.281,9,0.476
228,5,10,"dgo",1,5,4,4,9,3,222,10,5,9,9,9,9,9,1,1,5,0.353,0.281,9,0.476
229,5,10,"dgo",1,5,4,4,9,4,223,10,5,9,9,9,9,9,1,1,5,0.353,0.281,9,0.476
