"seccion","munn","edon","disloc2018","disloc2011","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2011","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e"
322,4,3,5,16,1533,5,5,1,0,0,0,0,1,39801,573075,0,1.13471210201172,0.89990672344916,8,0.198,5,0.253,0.6,0.4,0.2,0.571,0,0.429,8,0.15,5,0.344
323,4,3,5,16,1145,5,5,1,0,0,1,0,0,39801,573075,0,1.13471210201172,0.89990672344916,8,0.198,5,0.253,0.6,0.4,0.2,0.571,0,0.429,8,0.15,5,0.344
324,4,3,5,16,1833,5,5,1,0,0,0,0,0,39801,573075,0,1.13471210201172,0.89990672344916,8,0.198,5,0.253,0.6,0.4,0.2,0.571,0,0.429,8,0.15,5,0.344
325,4,3,5,16,1692,5,5,1,0,0,0,0,1,39801,573075,0,1.13471210201172,0.89990672344916,8,0.198,5,0.253,0.6,0.4,0.2,0.571,0,0.429,8,0.15,5,0.344
326,4,3,5,16,953,5,5,1,0,0,0,0,0,39801,573075,0,1.13471210201172,0.89990672344916,8,0.198,5,0.253,0.6,0.4,0.2,0.571,0,0.429,8,0.15,5,0.344
327,4,3,5,16,1178,5,5,1,0,0,1,0,0,39801,573075,0,1.13471210201172,0.89990672344916,8,0.198,5,0.253,0.6,0.4,0.2,0.571,0,0.429,8,0.15,5,0.344
328,4,3,5,8,2635,5,5,1,0,0,0,0,1,39801,573075,0,0.313998557877757,0.89990672344916,8,0.198,7,0.347,0.877,0.123,0.055,0.429,0,0.571,8,0.15,7,0.435
329,4,3,5,8,973,5,5,1,0,0,0,0,1,39801,573075,0,0.313998557877757,0.89990672344916,8,0.198,7,0.347,0.877,0.123,0.055,0.429,0,0.571,8,0.15,7,0.435
331,4,3,5,8,4269,5,5,1,0,0,1,0,0,39801,573075,0,0.313998557877757,0.89990672344916,8,0.198,7,0.347,0.877,0.123,0.055,0.429,0,0.571,8,0.15,7,0.435
332,4,3,6,8,11664,6,6,1,0,0,1,0,0,40006,573075,0,0.313998557877757,0.895295393191021,8,0.351,7,0.347,0.877,0.123,0.055,0.429,0,0.571,8,0.319,7,0.435
333,4,3,5,8,3687,5,5,1,0,0,0,0,1,39801,573075,0,0.313998557877757,0.89990672344916,8,0.198,7,0.347,0.877,0.123,0.055,0.429,0,0.571,8,0.15,7,0.435
334,4,3,9,8,241,9,9,0,1,0,0,0,1,39517,573075,0,0.313998557877757,0.906374155426778,8,0.062,7,0.347,0.877,0.123,0.055,0.429,0,0.571,8,0.067,7,0.435
335,4,3,6,8,424,6,6,1,0,0,0,0,0,40006,573075,0,0.313998557877757,0.895295393191021,8,0.351,7,0.347,0.877,0.123,0.055,0.429,0,0.571,8,0.319,7,0.435
336,4,3,6,8,607,6,6,1,0,0,0,0,0,40006,573075,0,0.313998557877757,0.895295393191021,8,0.351,7,0.347,0.877,0.123,0.055,0.429,0,0.571,8,0.319,7,0.435
337,5,3,1,11,72,4,1,0,1,0,0,0,0,37873,573075,0,1.59912436378248,0.945718255749479,11,0.261,4,0.261,0.188,0.812,0.25,0.25,0.375,0.375,11,0.319,4,0.319
338,5,3,1,12,4096,4,1,0,1,1,0,0,0,37873,573075,0,1.73633835078534,0.945718255749479,11,0.261,4,0.408,0.286,0.715,0.048,0.333,0,0.667,11,0.319,4,0.234
339,5,3,1,12,4873,4,1,1,0,0,1,0,0,37873,573075,0,1.73633835078534,0.945718255749479,11,0.261,4,0.408,0.286,0.715,0.048,0.333,0,0.667,11,0.319,4,0.234
340,5,3,1,12,1310,4,1,1,0,0,1,0,0,37873,573075,0,1.73633835078534,0.945718255749479,11,0.261,4,0.408,0.286,0.715,0.048,0.333,0,0.667,11,0.319,4,0.234
341,5,3,1,12,981,4,1,1,0,0,0,0,0,37873,573075,0,1.73633835078534,0.945718255749479,11,0.261,4,0.408,0.286,0.715,0.048,0.333,0,0.667,11,0.319,4,0.234
342,5,3,1,12,1115,4,1,1,0,0,0,0,0,37873,573075,0,1.73633835078534,0.945718255749479,11,0.261,4,0.408,0.286,0.715,0.048,0.333,0,0.667,11,0.319,4,0.234
343,5,3,1,12,890,4,1,1,0,0,0,0,0,37873,573075,0,1.73633835078534,0.945718255749479,11,0.261,4,0.408,0.286,0.715,0.048,0.333,0,0.667,11,0.319,4,0.234
344,5,3,1,12,1756,4,1,1,0,0,0,0,0,37873,573075,0,1.73633835078534,0.945718255749479,11,0.261,4,0.408,0.286,0.715,0.048,0.333,0,0.667,11,0.319,4,0.234
345,5,3,1,12,435,4,1,0,1,0,0,0,0,37873,573075,0,1.73633835078534,0.945718255749479,11,0.261,4,0.408,0.286,0.715,0.048,0.333,0,0.667,11,0.319,4,0.234
346,5,3,1,12,792,4,1,0,1,0,0,0,0,37873,573075,0,1.73633835078534,0.945718255749479,11,0.261,4,0.408,0.286,0.715,0.048,0.333,0,0.667,11,0.319,4,0.234
347,5,3,1,12,344,4,1,0,1,0,0,0,0,37873,573075,0,1.73633835078534,0.945718255749479,11,0.261,4,0.408,0.286,0.715,0.048,0.333,0,0.667,11,0.319,4,0.234
348,3,3,15,5,797,15,15,1,0,0,0,0,1,28064,573075,0,0.790806047425594,1.27626808366591,5,0.549,15,0.549,0.605,0.395,0.079,0.077,0.038,0.885,5,0.553,15,0.553
349,3,3,15,5,824,15,15,1,0,0,0,0,1,28064,573075,0,0.790806047425594,1.27626808366591,5,0.549,15,0.549,0.605,0.395,0.079,0.077,0.038,0.885,5,0.553,15,0.553
350,3,3,15,5,663,15,15,1,0,0,0,0,0,28064,573075,0,0.790806047425594,1.27626808366591,5,0.549,15,0.549,0.605,0.395,0.079,0.077,0.038,0.885,5,0.553,15,0.553
351,4,3,6,8,328,6,6,1,0,0,0,0,0,40006,573075,0,0.313998557877757,0.895295393191021,8,0.351,7,0.347,0.877,0.123,0.055,0.429,0,0.571,8,0.319,7,0.435
352,4,3,6,8,434,6,6,1,0,0,1,0,0,40006,573075,0,0.313998557877757,0.895295393191021,8,0.351,7,0.347,0.877,0.123,0.055,0.429,0,0.571,8,0.319,7,0.435
353,4,3,9,8,3517,9,9,0,1,1,0,0,0,39517,573075,0,0.313998557877757,0.906374155426778,8,0.062,7,0.347,0.877,0.123,0.055,0.429,0,0.571,8,0.067,7,0.435
