"seccion","munn","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2013","RRI_2016","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e"
78,1,1,12,11,856,12,12,1,0,0,1,0,0,66370,1160287,0,0.97894192429251,0.971227797030117,11,0.723,12,0.723,1,0,0,0.867,0.133,0,11,0.779,12,0.779
79,1,1,12,11,878,12,12,1,0,0,1,0,0,66370,1160287,0,0.97894192429251,0.971227797030117,11,0.723,12,0.723,1,0,0,0.867,0.133,0,11,0.779,12,0.779
80,1,1,16,5,8392,16,16,0,1,1,1,0,0,48497,1160287,0,1.38758774919576,1.32916239950696,15,0.092,16,0.69,0.714,0.286,0.143,0.5,0.5,0,15,0.083,16,0.3
82,1,1,16,5,15039,16,16,1,0,0,1,0,0,48497,1160287,0,1.38758774919576,1.32916239950696,15,0.092,16,0.69,0.714,0.286,0.143,0.5,0.5,0,15,0.083,16,0.3
83,1,1,7,12,12481,7,7,0,1,1,0,1,0,60109,1160287,0,1.00763441644608,1.07239163667486,12,0.798,7,0.798,0.52,0.48,0.24,0.222,0.778,0,12,0.6,7,0.6
84,1,1,7,12,3000,7,7,1,0,0,0,1,0,60109,1160287,0,1.00763441644608,1.07239163667486,12,0.798,7,0.798,0.52,0.48,0.24,0.222,0.778,0,12,0.6,7,0.6
85,1,1,7,5,5043,7,7,1,0,0,0,1,0,60109,1160287,0,1.38758774919576,1.07239163667486,12,0.798,16,0.69,0.714,0.286,0.143,0.5,0.5,0,12,0.6,16,0.3
86,1,1,16,5,15349,16,16,1,0,0,1,0,0,48497,1160287,0,1.38758774919576,1.32916239950696,15,0.092,16,0.69,0.714,0.286,0.143,0.5,0.5,0,15,0.083,16,0.3
87,1,1,16,15,2771,16,16,1,0,0,1,0,0,48497,1160287,0,0.96256945792538,1.32916239950696,15,0.092,15,0.175,1,0,0,0.8,0.2,0,15,0.083,15,0.222
88,1,1,16,15,1622,16,16,1,0,0,1,0,0,48497,1160287,0,0.96256945792538,1.32916239950696,15,0.092,15,0.175,1,0,0,0.8,0.2,0,15,0.083,15,0.222
89,1,1,16,15,1384,16,16,1,0,0,0,0,0,48497,1160287,0,0.96256945792538,1.32916239950696,15,0.092,15,0.175,1,0,0,0.8,0.2,0,15,0.083,15,0.222
90,1,1,16,15,3940,16,16,1,0,0,1,0,0,48497,1160287,0,0.96256945792538,1.32916239950696,15,0.092,15,0.175,1,0,0,0.8,0.2,0,15,0.083,15,0.222
91,1,1,11,15,1118,11,11,1,0,0,1,0,0,65516,1160287,0,0.96256945792538,0.983887735650664,6,0.605,15,0.175,1,0,0,0.8,0.2,0,6,0.426,15,0.222
92,1,1,11,15,957,11,11,1,0,0,1,0,0,65516,1160287,0,0.96256945792538,0.983887735650664,6,0.605,15,0.175,1,0,0,0.8,0.2,0,6,0.426,15,0.222
