"seccion","munn","edon","disloc2017","disloc2005","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2005","RRI_2017","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e"
57,2,18,16,7,1038,17,18,0,1,0,0,0,0,53665,1084942,0,1.82966200878959,1.12316324523536,13,0.628,18,0.217,0.486,0.513,0.054,0.133,0.867,0,13,0.61,18,0.273
58,2,18,16,7,685,17,18,0,1,0,0,0,0,53665,1084942,0,1.82966200878959,1.12316324523536,13,0.628,18,0.217,0.486,0.513,0.054,0.133,0.867,0,13,0.61,18,0.273
59,2,18,16,7,1714,17,18,0,1,0,0,1,0,53665,1084942,0,1.82966200878959,1.12316324523536,13,0.628,18,0.217,0.486,0.513,0.054,0.133,0.867,0,13,0.61,18,0.273
60,2,18,16,7,753,17,18,0,1,0,0,0,0,53665,1084942,0,1.82966200878959,1.12316324523536,13,0.628,18,0.217,0.486,0.513,0.054,0.133,0.867,0,13,0.61,18,0.273
61,2,18,16,7,1142,17,18,0,1,0,0,0,0,53665,1084942,0,1.82966200878959,1.12316324523536,13,0.628,18,0.217,0.486,0.513,0.054,0.133,0.867,0,13,0.61,18,0.273
62,2,18,16,7,365,17,18,0,1,0,0,1,0,53665,1084942,0,1.82966200878959,1.12316324523536,13,0.628,18,0.217,0.486,0.513,0.054,0.133,0.867,0,13,0.61,18,0.273
63,2,18,16,7,441,17,18,0,1,0,0,1,0,53665,1084942,0,1.82966200878959,1.12316324523536,13,0.628,18,0.217,0.486,0.513,0.054,0.133,0.867,0,13,0.61,18,0.273
64,2,18,16,7,294,17,18,0,1,0,0,0,0,53665,1084942,0,1.82966200878959,1.12316324523536,13,0.628,18,0.217,0.486,0.513,0.054,0.133,0.867,0,13,0.61,18,0.273
65,2,18,16,7,895,17,18,0,1,0,0,0,0,53665,1084942,0,1.82966200878959,1.12316324523536,13,0.628,18,0.217,0.486,0.513,0.054,0.133,0.867,0,13,0.61,18,0.273
66,3,18,16,13,548,17,18,1,0,0,0,1,0,53665,1084942,0,1.568832783851,1.12316324523536,13,0.628,17,0.628,0.364,0.636,0.145,0.2,0.8,0,13,0.61,17,0.61
67,3,18,16,13,963,17,18,0,1,1,1,0,0,53665,1084942,0,1.568832783851,1.12316324523536,13,0.628,17,0.628,0.364,0.636,0.145,0.2,0.8,0,13,0.61,17,0.61
68,3,18,16,13,853,17,18,1,0,0,0,0,0,53665,1084942,0,1.568832783851,1.12316324523536,13,0.628,17,0.628,0.364,0.636,0.145,0.2,0.8,0,13,0.61,17,0.61
69,3,18,16,13,587,17,18,0,1,1,0,0,0,53665,1084942,0,1.568832783851,1.12316324523536,13,0.628,17,0.628,0.364,0.636,0.145,0.2,0.8,0,13,0.61,17,0.61
70,3,18,16,13,259,17,18,1,0,0,0,1,0,53665,1084942,0,1.568832783851,1.12316324523536,13,0.628,17,0.628,0.364,0.636,0.145,0.2,0.8,0,13,0.61,17,0.61
71,3,18,16,13,256,17,18,0,1,0,0,0,0,53665,1084942,0,1.568832783851,1.12316324523536,13,0.628,17,0.628,0.364,0.636,0.145,0.2,0.8,0,13,0.61,17,0.61
72,3,18,16,13,134,17,18,0,1,0,0,0,0,53665,1084942,0,1.568832783851,1.12316324523536,13,0.628,17,0.628,0.364,0.636,0.145,0.2,0.8,0,13,0.61,17,0.61
73,3,18,16,13,86,17,18,0,1,0,0,0,0,53665,1084942,0,1.568832783851,1.12316324523536,13,0.628,17,0.628,0.364,0.636,0.145,0.2,0.8,0,13,0.61,17,0.61
74,3,18,16,13,532,17,18,0,1,0,0,1,0,53665,1084942,0,1.568832783851,1.12316324523536,13,0.628,17,0.628,0.364,0.636,0.145,0.2,0.8,0,13,0.61,17,0.61
75,3,18,16,13,603,17,18,0,1,0,0,0,0,53665,1084942,0,1.568832783851,1.12316324523536,13,0.628,17,0.628,0.364,0.636,0.145,0.2,0.8,0,13,0.61,17,0.61
76,3,18,16,13,152,17,18,0,1,0,0,0,0,53665,1084942,0,1.568832783851,1.12316324523536,13,0.628,17,0.628,0.364,0.636,0.145,0.2,0.8,0,13,0.61,17,0.61
